Sequence Length,Hidden Size,Loss Vector,Accuracy
20,2,"[0.5036718249320984, 0.5340647101402283, 0.5388520956039429, 0.47019949555397034, 0.4340682029724121, 0.42434197664260864, 0.3919198215007782, 0.3843849003314972, 0.37281277775764465, 0.36507678031921387]",0.605
20,4,"[0.8499530553817749, 0.7937638759613037, 0.7613320350646973, 0.7462962865829468, 0.7329521179199219, 0.7271974086761475, 0.7250158190727234, 0.7218014001846313, 0.7190678119659424, 0.7200414538383484]",0.52
20,6,"[0.8529170751571655, 0.7986041903495789, 0.759495735168457, 0.7527017593383789, 0.7412700653076172, 0.7983117699623108, 0.8349277973175049, 0.8864087462425232, 0.9380030035972595, 0.9844496250152588]",0.54
20,8,"[0.8164623975753784, 0.7712622880935669, 0.7460314035415649, 0.7507027387619019, 0.7522549629211426, 0.7417922616004944, 0.7570855617523193, 0.7422223687171936, 0.7359824180603027, 0.7055845856666565]",0.745
20,10,"[0.6020600199699402, 0.627710223197937, 0.6450160145759583, 0.656593382358551, 0.6586746573448181, 0.6650259494781494, 0.45847994089126587, 0.41698917746543884, 0.3855244815349579, 0.3955709934234619]",0.845
20,12,"[0.630497932434082, 0.6565478444099426, 0.6704139709472656, 0.6770641803741455, 0.6834716200828552, 0.6825785636901855, 0.6853115558624268, 0.6863691210746765, 0.6877173781394958, 0.6883593797683716]",0.485
20,14,"[0.6424399018287659, 0.6654022336006165, 0.6775754690170288, 0.6809876561164856, 0.6853349208831787, 0.6878135204315186, 0.6885099411010742, 0.6899821758270264, 0.6912379264831543, 0.6911638975143433]",0.47
20,16,"[0.6442099809646606, 0.6687811613082886, 0.6822524666786194, 0.6861482858657837, 0.6896710991859436, 0.6908073425292969, 0.6912473440170288, 0.6917257905006409, 0.6924850940704346, 0.6925785541534424]",0.405
20,18,"[0.7585532069206238, 0.7371129989624023, 0.7314581871032715, 0.7452020049095154, 0.7470303773880005, 0.7037003040313721, 0.7049528956413269, 0.7069475650787354, 0.7115614414215088, 0.696706235408783]",0.725
20,20,"[0.5457396507263184, 0.5842079520225525, 0.6139979362487793, 0.6378112435340881, 0.6387366652488708, 0.648817777633667, 0.6318641901016235, 0.629957377910614, 0.6192938685417175, 0.6613237857818604]",0.885
20,22,"[0.6541069746017456, 0.676826000213623, 0.6850606799125671, 0.6871436834335327, 0.6885956525802612, 0.6902278065681458, 0.6910451650619507, 0.6916067600250244, 0.6919068694114685, 0.38470742106437683]",0.73
20,24,"[0.7154678106307983, 0.7089397311210632, 0.7034438252449036, 0.7015597224235535, 0.7069724202156067, 0.7833490371704102, 0.9652978181838989, 1.242060661315918, 1.2527461051940918, 1.2659803628921509]",0.69
40,2,"[0.5189114809036255, 0.5543833374977112, 0.5920451283454895, 0.6116683483123779, 0.6248186826705933, 0.645603597164154, 0.6391014456748962, 0.654086709022522, 0.6686685085296631, 0.6720712184906006]",0.61
40,4,"[0.5441688895225525, 0.6092500686645508, 0.6284370422363281, 0.6442223787307739, 0.6543389558792114, 0.665943443775177, 0.674525797367096, 0.6801019310951233, 0.6843430399894714, 0.6872415542602539]",0.6
40,6,"[0.5569801330566406, 0.6062737703323364, 0.6181952953338623, 0.4840947389602661, 0.3785141110420227, 0.35186290740966797, 0.3382212817668915, 0.328223317861557, 0.32646414637565613, 0.3220573961734772]",0.595
40,8,"[0.8118107914924622, 0.7551242113113403, 0.7365751266479492, 0.7382867932319641, 0.7508691549301147, 1.081936240196228, 1.1163644790649414, 1.1344859600067139, 1.2170395851135254, 1.2612378597259521]",0.75
40,10,"[0.7745864987373352, 0.7536312341690063, 0.7543309926986694, 1.2055842876434326, 1.278867244720459, 1.2881602048873901, 1.2937273979187012, 1.301337480545044, 1.2984461784362793, 1.2935888767242432]",0.58
40,12,"[0.7482094764709473, 0.7239556908607483, 0.7142829895019531, 0.71161949634552, 0.7048884034156799, 0.702934205532074, 0.7051821351051331, 0.7002641558647156, 0.700080394744873, 0.6990042328834534]",0.485
40,14,"[0.7476245760917664, 0.7268778085708618, 0.7170911431312561, 0.7100430727005005, 0.7193905711174011, 0.7042927742004395, 0.7002126574516296, 0.6976390480995178, 0.6969215869903564, 0.69623202085495]",0.79
40,16,"[0.6243239641189575, 0.6340999007225037, 0.6382985711097717, 0.5850783586502075, 0.5717291235923767, 0.6450068950653076, 0.6471385359764099, 0.6552538871765137, 0.63814377784729, 0.5664942264556885]",0.465
40,18,"[0.6567217707633972, 0.6722277402877808, 0.6784312725067139, 0.6832171678543091, 0.6032730340957642, 0.5415661931037903, 0.6022111177444458, 0.6113284230232239, 0.6480442881584167, 0.6517307162284851]",0.47
40,20,"[0.7188621759414673, 0.7052717208862305, 0.7012186646461487, 0.6995739340782166, 0.6987759470939636, 0.6989575028419495, 0.7229101657867432, 0.7053253650665283, 0.7005118727684021, 1.2694787979125977]",0.57
