Sequence Length,Hidden Size,Loss Vector,Accuracy
20,2,"[0.5697086453437805, 0.5959969758987427, 0.6177240610122681, 0.6123810410499573, 0.6300441026687622, 0.6446633338928223, 0.6521365642547607, 0.6603171229362488, 0.6449484825134277, 0.6661227941513062]",0.45
20,4,"[0.8999594449996948, 0.8197447061538696, 0.815951406955719, 0.7843461036682129, 0.7799805402755737, 0.800807774066925, 0.8247595429420471, 0.8380566835403442, 0.8231145739555359, 0.7893247604370117]",0.66
20,6,"[0.5707910656929016, 0.6138483881950378, 0.6371524333953857, 0.6414693593978882, 0.6347067356109619, 0.6108231544494629, 0.5545806288719177, 0.5722149014472961, 0.5379800796508789, 0.5823302865028381]",0.615
20,8,"[0.8482704162597656, 0.7614243626594543, 0.7538522481918335, 0.7243829369544983, 0.7147746682167053, 0.7086048722267151, 0.7014135122299194, 0.701096773147583, 0.6984444260597229, 0.6978346705436707]",0.585
20,10,"[0.8007866144180298, 0.7900109887123108, 0.7529851198196411, 0.7225137948989868, 0.7084328532218933, 0.7030044198036194, 0.6980674862861633, 0.696347713470459, 0.694830060005188, 0.6951057314872742]",0.58
20,12,"[0.6172393560409546, 0.6386846303939819, 0.6424476504325867, 0.5942397713661194, 0.6446726322174072, 0.5843265652656555, 0.5139193534851074, 0.37242940068244934, 0.6892681121826172, 0.6881250739097595]",0.515
20,14,"[0.5764519572257996, 0.50504070520401, 0.5172345042228699, 0.5214800238609314, 0.45757001638412476, 0.4025096893310547, 0.33413204550743103, 0.32437649369239807, 0.6867783665657043, 0.3267842233181]",0.65
20,16,"[0.7530247569084167, 0.7202402353286743, 0.7079880833625793, 0.7048885226249695, 0.8068126440048218, 1.00844407081604, 0.6990503668785095, 0.709591269493103, 0.6984924674034119, 0.6988935470581055]",0.43
20,18,"[0.7271428108215332, 0.7037011384963989, 0.701063871383667, 0.6956087946891785, 0.6944724917411804, 0.694433867931366, 0.6938695311546326, 0.6935409307479858, 0.6934669613838196, 0.6934227347373962]",0.42
20,20,"[0.7352475523948669, 0.7191744446754456, 1.0924956798553467, 0.7429700493812561, 0.7512681484222412, 0.6954362392425537, 0.7074376344680786, 0.6942633986473083, 0.7016831040382385, 0.6955260038375854]",0.49
20,22,"[0.6219229102134705, 0.6517086029052734, 0.662129282951355, 0.5139129757881165, 0.6562168598175049, 0.5879456996917725, 0.6056758761405945, 0.5904046893119812, 0.6915825605392456, 0.6855580806732178]",0.53
20,24,"[0.761489748954773, 0.7700622081756592, 0.7075486779212952, 0.7174792885780334, 0.7858777046203613, 0.7045911550521851, 0.7930792570114136, 0.6971619129180908, 0.6993594765663147, 0.7031837105751038]",0.52
40,2,"[0.9291620254516602, 0.9048467874526978, 0.9933577179908752, 1.036185622215271, 1.0829660892486572, 1.1164264678955078, 1.1260138750076294, 1.0146222114562988, 0.9990933537483215, 1.0411372184753418]",0.855
40,4,"[0.9152287244796753, 0.7650764584541321, 0.7198795676231384, 0.7038447856903076, 0.6992412805557251, 0.6960217952728271, 0.6951122283935547, 0.6948239207267761, 0.6940252184867859, 0.695301353931427]",0.825
40,6,"[0.37026098370552063, 0.3423067331314087, 0.32806894183158875, 0.3230888545513153, 0.31842997670173645, 0.31581932306289673, 0.31751391291618347, 0.3155735731124878, 0.31557783484458923, 0.3142233192920685]",0.815
40,8,"[0.7610321044921875, 0.7131932973861694, 0.699456512928009, 0.7037432789802551, 0.6961248517036438, 0.6971625089645386, 0.6971867680549622, 0.6965031027793884, 0.6951268315315247, 0.694180428981781]",0.89
40,10,"[0.3703106939792633, 0.3615453839302063, 0.3273370862007141, 0.3209313452243805, 0.3191799819469452, 0.31746166944503784, 0.3153506815433502, 0.315187007188797, 0.31426528096199036, 0.3157642185688019]",0.885
40,12,"[0.7741254568099976, 0.7393263578414917, 0.7320955395698547, 0.713529646396637, 0.7110193371772766, 0.7041193246841431, 0.7084876894950867, 0.7033014297485352, 0.7034775614738464, 0.6986966133117676]",0.85
40,14,"[0.37486204504966736, 0.3526928126811981, 0.3254592716693878, 0.3195450007915497, 0.31547844409942627, 0.31556668877601624, 0.3145224153995514, 0.31541088223457336, 0.3149251639842987, 0.31543686985969543]",0.88
40,16,"[0.6422439813613892, 0.6788384914398193, 0.6857903003692627, 0.6910350918769836, 0.6898892521858215, 0.6892126798629761, 0.6925656199455261, 0.6915601491928101, 0.693008303642273, 0.6929469108581543]",0.845
40,18,"[0.7633324861526489, 0.7089767456054688, 0.7001011967658997, 0.7060560584068298, 0.7080129981040955, 0.7058183550834656, 0.6999715566635132, 0.6979748606681824, 0.6999137997627258, 0.6954647302627563]",0.845
40,20,"[0.700843870639801, 0.6937842965126038, 0.6932260990142822, 0.6931810975074768, 0.693156898021698, 0.693153440952301, 0.6931499242782593, 0.6931487917900085, 0.6931481957435608, 0.693147599697113]",0.875
40,22,"[0.7424747347831726, 0.7189390063285828, 0.7085473537445068, 0.7026235461235046, 0.7014891505241394, 0.7007876038551331, 0.6980146169662476, 0.7012672424316406, 0.6980981230735779, 0.6979489922523499]",0.86
40,24,"[0.6944491863250732, 0.6932309865951538, 0.6931824088096619, 0.6931571364402771, 0.6931517720222473, 0.6931538581848145, 0.693149983882904, 0.6931486129760742, 0.6931483149528503, 0.6931477785110474]",0.815
60,2,"[0.9659410119056702, 0.9844840168952942, 1.0943164825439453, 1.164180040359497, 1.161489725112915, 1.173129677772522, 1.1931248903274536, 1.1578376293182373, 1.2487821578979492, 1.2505875825881958]",0.845
60,4,"[0.5283334255218506, 0.5124568343162537, 0.5317243337631226, 0.5357930660247803, 0.5235878825187683, 0.5080338716506958, 0.4996272325515747, 0.47943416237831116, 0.48618775606155396, 0.49135738611221313]",0.87
60,6,"[0.4015570282936096, 0.3494686484336853, 0.3345472812652588, 0.33368855714797974, 0.3184420168399811, 0.3161582052707672, 0.3165920674800873, 0.314470112323761, 0.3154839277267456, 0.31451135873794556]",0.86
60,8,"[0.3802780210971832, 0.3320395052433014, 0.33077356219291687, 0.33032625913619995, 0.32357075810432434, 0.31784796714782715, 0.31548938155174255, 0.3155880868434906, 0.3156767785549164, 0.31433066725730896]",0.86
60,10,"[0.3551101088523865, 0.3325352668762207, 0.3172670006752014, 0.31593650579452515, 0.3152073621749878, 0.31423220038414, 0.31367257237434387, 0.313625693321228, 0.31354841589927673, 0.31339314579963684]",0.905
60,12,"[0.3556728661060333, 0.32191625237464905, 0.31595683097839355, 0.3160049021244049, 0.3159363269805908, 0.31455889344215393, 0.314399778842926, 0.3144269287586212, 0.3137751817703247, 0.3136114776134491]",0.88
60,14,"[0.36611413955688477, 0.3251931965351105, 0.3182341754436493, 0.3158009946346283, 0.31416165828704834, 0.31364694237709045, 0.3134925663471222, 0.3134857714176178, 0.31341972947120667, 0.3133161962032318]",0.88
60,16,"[0.3495362401008606, 0.3236615061759949, 0.31811919808387756, 0.3154674768447876, 0.31545382738113403, 0.3143448531627655, 0.3141210079193115, 0.3141017556190491, 0.31436285376548767, 0.31380635499954224]",0.825
60,18,"[0.7265965938568115, 0.7032897472381592, 0.6980239748954773, 0.6956468224525452, 0.6945539712905884, 0.6940308809280396, 0.6937001943588257, 0.6935703158378601, 0.6933861970901489, 0.693239688873291]",0.845
60,20,"[0.38730958104133606, 0.32672402262687683, 0.3176306188106537, 0.31567293405532837, 0.31452956795692444, 0.31439924240112305, 0.3142085075378418, 0.3151875436306, 0.31453007459640503, 0.3144395649433136]",0.895
60,22,"[1.2184911966323853, 1.2825721502304077, 1.3041170835494995, 1.3086084127426147, 1.3109196424484253, 1.312088966369629, 1.3122750520706177, 1.3118802309036255, 1.3122313022613525, 1.3123973608016968]",0.895
60,24,"[0.4811592996120453, 0.35284823179244995, 0.357163667678833, 0.3317587375640869, 0.322431743144989, 0.3228996694087982, 0.3174053430557251, 0.31655409932136536, 0.3195997476577759, 0.31548312306404114]",0.88
80,2,"[0.8360806703567505, 0.8447226285934448, 0.8138374090194702, 0.7513984441757202, 0.7439473867416382, 0.7531452775001526, 0.7392086386680603, 0.7327288389205933, 0.7135090827941895, 0.7161734700202942]",0.835
80,4,"[0.8867989778518677, 0.7895145416259766, 0.7457261085510254, 0.7170884609222412, 0.722451388835907, 0.7059274315834045, 0.7012112140655518, 0.7045128345489502, 0.6995866894721985, 0.6960261464118958]",0.855
80,6,"[0.37606269121170044, 0.337628573179245, 0.32770615816116333, 0.3207676112651825, 0.3188401460647583, 0.3188876509666443, 0.31616464257240295, 0.31556373834609985, 0.31536346673965454, 0.31420981884002686]",0.825
80,8,"[0.3726101219654083, 0.32968196272850037, 0.32260259985923767, 0.31787338852882385, 0.31651684641838074, 0.31612056493759155, 0.3159239888191223, 0.31495770812034607, 0.3147472143173218, 0.3149046301841736]",0.875
80,10,"[0.3636021912097931, 0.33124932646751404, 0.3229857087135315, 0.3237520754337311, 0.31799420714378357, 0.3150814175605774, 0.31593164801597595, 0.31502920389175415, 0.3151763081550598, 0.31496745347976685]",0.86
80,12,"[0.4116784334182739, 0.33727654814720154, 0.322759747505188, 0.31800341606140137, 0.31462687253952026, 0.3138842284679413, 0.3139550983905792, 0.31364312767982483, 0.31353187561035156, 0.31342557072639465]",0.89
80,14,"[0.819236159324646, 0.8393348455429077, 0.8470902442932129, 0.9283641576766968, 0.9718964099884033, 0.8524709939956665, 0.9176232218742371, 0.9608295559883118, 0.9769518375396729, 0.9017161726951599]",0.83
80,16,"[0.3334195613861084, 0.3191044330596924, 0.31679192185401917, 0.3160088062286377, 0.31539225578308105, 0.3143293559551239, 0.3140871226787567, 0.31425875425338745, 0.31398865580558777, 0.31382474303245544]",0.865
80,18,"[0.7065937519073486, 0.6961495280265808, 0.6945556998252869, 0.6938349604606628, 0.693554699420929, 0.6933884620666504, 0.6933056712150574, 0.6933032870292664, 0.6932874917984009, 0.693367600440979]",0.88
80,20,"[0.8000603914260864, 0.7686634063720703, 0.7791620492935181, 0.8426513075828552, 0.8041171431541443, 0.7679271697998047, 0.7833384275436401, 0.7583533525466919, 0.912175178527832, 0.834401547908783]",0.86
80,22,"[0.37497979402542114, 0.3432789146900177, 0.3389434516429901, 0.34654751420021057, 0.3199753165245056, 0.3149155080318451, 0.3140299320220947, 0.3134686052799225, 0.313655823469162, 0.3134060502052307]",0.87
80,24,"[0.7025966048240662, 0.6953786015510559, 0.6939000487327576, 0.6936055421829224, 0.6934378147125244, 0.6932256817817688, 0.6931977272033691, 0.6931824684143066, 0.6931609511375427, 0.6933384537696838]",0.9
200,2,"[0.4855889678001404, 0.40128093957901, 0.3878471255302429, 0.3664296865463257, 0.3695564866065979, 0.3358597159385681, 0.32772815227508545, 0.32746028900146484, 0.3301600515842438, 0.32458627223968506]",0.865
200,4,"[0.9050337076187134, 0.8783277869224548, 0.8521028757095337, 0.8453574180603027, 0.9161145687103271, 0.9086843132972717, 0.8316758275032043, 0.830564558506012, 0.9926527142524719, 0.9651690721511841]",0.855
200,6,"[0.828299343585968, 0.7430498003959656, 0.7195686101913452, 0.7057628631591797, 0.7004590630531311, 0.6985405087471008, 0.6968763470649719, 0.6963737607002258, 0.6990520358085632, 0.6944249868392944]",0.82
200,8,"[0.7542506456375122, 0.7120561599731445, 0.7042647004127502, 0.701233446598053, 0.696779727935791, 0.6979697942733765, 0.6954976320266724, 0.6945846080780029, 0.6957194805145264, 0.6949399709701538]",0.84
200,10,"[0.438864141702652, 0.3483503460884094, 0.3292849659919739, 0.32261452078819275, 0.31978920102119446, 0.31679800152778625, 0.31550416350364685, 0.3144954442977905, 0.31498023867607117, 0.31429487466812134]",0.89
200,12,"[0.40052536129951477, 0.3255147337913513, 0.31714946031570435, 0.3153281509876251, 0.3150617480278015, 0.31399378180503845, 0.31415948271751404, 0.3134942948818207, 0.31355807185173035, 0.3137904107570648]",0.855
200,14,"[0.3809771239757538, 0.33808237314224243, 0.3268263339996338, 0.33059781789779663, 0.31791892647743225, 0.31912314891815186, 0.31642910838127136, 0.3147309422492981, 0.31482258439064026, 0.31388047337532043]",0.885
200,16,"[0.37872880697250366, 0.3298007845878601, 0.3258301019668579, 0.32273176312446594, 0.31757450103759766, 0.31532129645347595, 0.31604495644569397, 0.31602394580841064, 0.31629514694213867, 0.3146105110645294]",0.845
200,18,"[0.40214216709136963, 0.387732595205307, 0.3464687168598175, 0.3969351649284363, 0.35591021180152893, 0.35120001435279846, 0.34981387853622437, 0.337673544883728, 0.3275766968727112, 0.33036062121391296]",0.84
200,20,"[0.7604678273200989, 0.7288672924041748, 0.7259339094161987, 0.7194894552230835, 0.7075806260108948, 0.7009867429733276, 0.7129958271980286, 0.7088233232498169, 0.7121772170066833, 0.7032598853111267]",0.855
200,22,"[0.3204984962940216, 0.31749430298805237, 0.31406328082084656, 0.3135139048099518, 0.3139847218990326, 0.313738077878952, 0.3134099543094635, 0.31357550621032715, 0.31450822949409485, 0.36225903034210205]",0.81
200,24,"[0.33790433406829834, 0.3214385211467743, 0.31835004687309265, 0.3162761926651001, 0.31606626510620117, 0.31537243723869324, 0.314267098903656, 0.31381261348724365, 0.3140070140361786, 0.3137068748474121]",0.89
400,2,"[0.5138671398162842, 0.5349676012992859, 0.49093911051750183, 0.47485730051994324, 0.462471067905426, 0.48668742179870605, 0.46403968334198, 0.45015376806259155, 0.4428265392780304, 0.4361746609210968]",0.855
400,4,"[0.49250832200050354, 0.4458983838558197, 0.3811934292316437, 0.34272491931915283, 0.34978196024894714, 0.34228819608688354, 0.324095755815506, 0.3273608982563019, 0.32268384099006653, 0.3267494738101959]",0.825
