Sequence Length,Hidden Size,Loss Vector,Accuracy
20,2,"[0.7882578372955322, 0.7547857165336609, 0.7311321496963501, 0.7125822901725769, 0.7020948529243469, 0.6987366676330566, 0.6961899995803833, 0.6969662308692932, 0.6944819688796997, 0.6959652304649353]",0.99
20,4,"[0.4132996201515198, 0.37813857197761536, 0.35020339488983154, 0.33263835310935974, 0.3228761851787567, 0.32828977704048157, 0.3147520124912262, 0.31492358446121216, 0.3152300715446472, 0.31364527344703674]",0.995
20,6,"[0.8233029842376709, 0.7079203128814697, 0.6993767619132996, 0.6952446103096008, 0.6942822337150574, 0.694017231464386, 0.6934018731117249, 0.6938136219978333, 0.6933345794677734, 0.6934407353401184]",1.0
20,8,"[0.3470990061759949, 0.3228396773338318, 0.31807374954223633, 0.31551191210746765, 0.31509992480278015, 0.3138972818851471, 0.3137354552745819, 0.31370896100997925, 0.3135570287704468, 0.3139791488647461]",1.0
20,10,"[0.34978893399238586, 0.31972736120224, 0.3167394697666168, 0.31513410806655884, 0.3144574761390686, 0.31424498558044434, 0.31354179978370667, 0.3138013780117035, 0.3135508596897125, 0.31352880597114563]",1.0
20,12,"[0.35207399725914, 0.323597252368927, 0.31567052006721497, 0.3156360685825348, 0.6920782327651978, 0.31434744596481323, 0.3137299716472626, 0.3135005831718445, 0.31333187222480774, 0.31358543038368225]",1.0
20,14,"[0.32481783628463745, 0.31724807620048523, 0.31456995010375977, 0.3141576647758484, 0.31439706683158875, 0.3141125440597534, 0.31370487809181213, 0.3134758472442627, 0.31337806582450867, 0.3133526146411896]",1.0
20,16,"[0.7131780982017517, 0.695863664150238, 0.6948496699333191, 0.6938819885253906, 0.6952910423278809, 0.6938042640686035, 0.6932724714279175, 0.6932111382484436, 0.6931784749031067, 0.6931685209274292]",1.0
20,18,"[0.7699549198150635, 0.6955373287200928, 0.694842517375946, 0.6938027143478394, 0.6932547688484192, 0.6932761669158936, 0.6932132244110107, 0.6931657195091248, 0.6931611895561218, 0.6931599378585815]",0.505
20,20,"[0.7530634999275208, 0.735212504863739, 0.709328293800354, 0.7295449376106262, 0.6974994540214539, 0.6979473829269409, 0.6944167613983154, 0.6980530619621277, 0.6963684558868408, 0.6932320594787598]",1.0
20,22,"[0.6953986287117004, 0.6934349536895752, 0.6932647824287415, 0.6931864619255066, 0.6931573152542114, 0.6931511759757996, 0.6931525468826294, 0.6931498050689697, 0.6931477189064026, 0.6931477189064026]",1.0
20,24,"[0.31636664271354675, 0.6919094920158386, 0.6919019818305969, 0.3170982599258423, 0.31386157870292664, 0.31378528475761414, 0.3134472668170929, 0.31336238980293274, 0.3133174180984497, 0.313292920589447]",1.0
40,2,"[0.44778668880462646, 0.4665102958679199, 0.42586061358451843, 0.37614762783050537, 0.3668571710586548, 0.34279319643974304, 0.33793342113494873, 0.33216607570648193, 0.32637202739715576, 0.32296472787857056]",0.975
40,4,"[0.832902193069458, 0.7287443280220032, 0.7135865688323975, 0.7054893374443054, 0.6974716782569885, 0.6977335214614868, 0.6957915425300598, 0.6953559517860413, 0.694226086139679, 0.6939771771430969]",0.98
40,6,"[0.4542929232120514, 0.34457162022590637, 0.32532840967178345, 0.31608423590660095, 0.3142715394496918, 0.3149876296520233, 0.3140491545200348, 0.3136501610279083, 0.3135474622249603, 0.3135923147201538]",0.995
40,8,"[0.7219499349594116, 0.6997258067131042, 0.6950650215148926, 0.6948792934417725, 0.6937124729156494, 0.6933247447013855, 0.6933285593986511, 0.6931901574134827, 0.6931934356689453, 0.6931762099266052]",0.995
40,10,"[0.3385026752948761, 0.31716448068618774, 0.315425306558609, 0.3145495653152466, 0.3142813742160797, 0.3140758275985718, 0.313760370016098, 0.31342703104019165, 0.31360816955566406, 0.3134629428386688]",1.0
40,12,"[0.8004380464553833, 0.7069774270057678, 0.6971097588539124, 0.6942962408065796, 0.6940149664878845, 0.6936225295066833, 0.6933755874633789, 0.6932414174079895, 0.6932008266448975, 0.6931747794151306]",1.0
40,14,"[0.32803958654403687, 0.31761935353279114, 0.31676986813545227, 0.31473225355148315, 0.31375277042388916, 0.3139086961746216, 0.3136328458786011, 0.3136237561702728, 0.31334686279296875, 0.3133455812931061]",1.0
40,16,"[0.7558292746543884, 0.7109094262123108, 0.7004814743995667, 0.6954172253608704, 0.6950456500053406, 0.6944825053215027, 0.6933263540267944, 0.6932915449142456, 0.6938557028770447, 0.6931964755058289]",0.535
