Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
1,5,2,"[0.4442715048789978, 0.48817718029022217, 0.5191192626953125, 0.5368502736091614, 0.5435353517532349, 0.5436483025550842, 0.5389065742492676, 0.5320186614990234, 0.5254498720169067, 0.5212711691856384]",0.565
1,5,4,"[0.4867345094680786, 0.5124689936637878, 0.46283888816833496, 0.37331828474998474, 0.34910205006599426, 0.34211039543151855, 0.33625292778015137, 0.3370203375816345, 0.32783836126327515, 0.36193451285362244]",0.905
1,5,8,"[0.42524948716163635, 0.33730030059814453, 0.3252970576286316, 0.3185173571109772, 0.3175768256187439, 0.31556442379951477, 0.6513718962669373, 0.31591200828552246, 0.3137693405151367, 0.3136199414730072]",0.96
1,5,16,"[0.3587816059589386, 0.32087624073028564, 0.3200223445892334, 0.3149898946285248, 0.3135474622249603, 0.31388038396835327, 0.3133639693260193, 0.3133322298526764, 0.31331437826156616, 0.3133217692375183]",0.905
1,5,32,"[0.31525084376335144, 0.3134821057319641, 0.3134719133377075, 0.31332167983055115, 0.3133368492126465, 0.31328725814819336, 0.3133062720298767, 0.31328272819519043, 0.3132708966732025, 0.31326723098754883]",0.9
1,10,2,"[0.5140583515167236, 0.5451284646987915, 0.5719926357269287, 0.593428373336792, 0.6096662878990173, 0.6218349933624268, 0.6311373710632324, 0.6383814215660095, 0.6440969705581665, 0.6486225128173828]",0.485
1,10,4,"[0.5520138740539551, 0.5976693630218506, 0.6198993921279907, 0.6323212385177612, 0.6395606994628906, 0.6437572836875916, 0.6458078622817993, 0.6462517380714417, 0.6454509496688843, 0.6438421010971069]",0.505
1,10,8,"[0.37433362007141113, 0.3529512584209442, 0.3354128301143646, 0.3200032114982605, 0.3169216513633728, 0.31555694341659546, 0.3155660927295685, 0.31623563170433044, 0.31546714901924133, 0.31438174843788147]",0.935
1,10,16,"[0.657630980014801, 0.33607518672943115, 0.3336482644081116, 0.3371649980545044, 0.31394484639167786, 0.3135375380516052, 0.31478479504585266, 0.3148796558380127, 0.31330636143684387, 0.31339219212532043]",0.93
1,10,32,"[1.2307872772216797, 1.2259483337402344, 1.302309513092041, 1.303560495376587, 1.3093366622924805, 1.3105156421661377, 1.3129687309265137, 1.3128846883773804, 1.3130193948745728, 1.3131670951843262]",0.905
1,20,2,"[0.4207738935947418, 0.4897945523262024, 0.545242428779602, 0.572542130947113, 0.5851913690567017, 0.5898404717445374, 0.5911861658096313, 0.5949192643165588, 0.6018416285514832, 0.6096341609954834]",0.49
1,20,4,"[0.8947153687477112, 0.829327404499054, 0.7909352779388428, 0.767894446849823, 0.7536497712135315, 0.7440001368522644, 0.7371092438697815, 0.7317414283752441, 0.7265749573707581, 0.7220270037651062]",0.485
1,20,8,"[0.7962197065353394, 0.7510337233543396, 0.7343042492866516, 0.7289713025093079, 0.7169884443283081, 0.7099930644035339, 0.7045269012451172, 0.6997800469398499, 0.6982553601264954, 0.6969143152236938]",0.6
1,20,16,"[0.8862481117248535, 0.8605899214744568, 0.8348541855812073, 0.8017624020576477, 0.7735680341720581, 0.7209550142288208, 0.7191286087036133, 0.7084187865257263, 0.7025282382965088, 0.7051512002944946]",0.795
1,20,32,"[0.6801599860191345, 0.6908240914344788, 0.6921188235282898, 0.6926496028900146, 0.6928924918174744, 0.6930064558982849, 0.6930637359619141, 0.6930937767028809, 0.6930980682373047, 0.6764215230941772]",0.515
1,40,2,"[0.8703480958938599, 0.7760204672813416, 0.7281351685523987, 0.7105450630187988, 0.7029378414154053, 0.6990563869476318, 0.6968778967857361, 0.6955744028091431, 0.6947751641273499, 0.6942757964134216]",0.865
1,40,4,"[0.45338088274002075, 0.366152822971344, 0.34068700671195984, 0.32978910207748413, 0.3245649039745331, 0.3216898441314697, 0.3197140395641327, 0.3185805678367615, 0.3178231418132782, 0.31715989112854004]",0.88
1,40,8,"[0.493350088596344, 0.47523075342178345, 0.4421595633029938, 0.41997861862182617, 0.40903469920158386, 0.3993165194988251, 0.39311063289642334, 0.39271315932273865, 0.4055665135383606, 0.39718562364578247]",0.855
1,40,16,"[0.6282418370246887, 0.5827816724777222, 0.5400134921073914, 0.5339857935905457, 0.5649862289428711, 0.6121232509613037, 0.6455461382865906, 0.6633179187774658, 0.6708595752716064, 0.6727678775787354]",0.865
1,40,32,"[1.0678304433822632, 1.272467017173767, 1.2943437099456787, 1.3032537698745728, 1.308209776878357, 1.3096736669540405, 1.3112715482711792, 1.3118830919265747, 1.3120006322860718, 1.3121793270111084]",0.845
1,80,2,"[0.8333357572555542, 0.8038797378540039, 0.7882946729660034, 0.8710421323776245, 0.902726411819458, 0.9034225344657898, 0.9049239754676819, 0.9056341648101807, 0.9047305583953857, 0.9059749841690063]",0.845
1,80,4,"[0.7610837817192078, 0.7101758122444153, 0.700046181678772, 0.6967698931694031, 0.6953459978103638, 0.6946160793304443, 0.6941923499107361, 0.693917989730835, 0.6937453150749207, 0.6936088800430298]",0.895
1,80,8,"[0.3557634949684143, 0.32755523920059204, 0.32118046283721924, 0.31855136156082153, 0.31708696484565735, 0.3161558508872986, 0.3155548572540283, 0.31512272357940674, 0.31481117010116577, 0.3145776093006134]",0.855
1,80,16,"[0.8458312749862671, 0.7969112992286682, 0.7626622915267944, 0.7437159419059753, 0.733382523059845, 0.7314417362213135, 0.7317277789115906, 0.7313655614852905, 0.7309876084327698, 0.7431319355964661]",0.89
1,80,32,"[0.6986726522445679, 0.6935036778450012, 0.6932143568992615, 0.6931695342063904, 0.6931577324867249, 0.6931528449058533, 0.6931502223014832, 0.6931487917900085, 0.6931479573249817, 0.6931476593017578]",0.88
1,160,2,"[0.4990268647670746, 0.5245939493179321, 0.5228947997093201, 0.4743756055831909, 0.46085965633392334, 0.47088152170181274, 0.48788982629776, 0.5032956600189209, 0.5166703462600708, 0.5286401510238647]",0.805
1,160,4,"[0.5353608727455139, 0.5216256380081177, 0.48733147978782654, 0.4654417634010315, 0.44698524475097656, 0.43272864818573, 0.4240844249725342, 0.4172145426273346, 0.41396695375442505, 0.4123060405254364]",0.89
