Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
1,5,2,"[0.9543576836585999, 0.8806266784667969, 0.8504913449287415, 0.8596901893615723, 0.8860315084457397, 0.9153846502304077, 0.9575405120849609, 0.974871039390564, 1.0116312503814697, 0.9601477384567261]",0.785
1,5,4,"[0.5563334226608276, 0.5780351161956787, 0.5432692766189575, 0.3973613381385803, 0.3964522182941437, 0.356816828250885, 0.34345802664756775, 0.3607877492904663, 0.32986968755722046, 0.3287064731121063]",0.89
1,5,8,"[0.8537898063659668, 0.9762990474700928, 0.9609514474868774, 1.1937801837921143, 1.2705631256103516, 1.2898861169815063, 1.285086989402771, 1.2606745958328247, 1.3022345304489136, 1.3062764406204224]",0.865
1,5,16,"[0.8609477281570435, 0.7495876550674438, 0.7157954573631287, 0.7049736380577087, 0.6988077163696289, 0.6974043250083923, 0.694956362247467, 0.6943275928497314, 0.6943150162696838, 0.6937008500099182]",0.805
1,5,32,"[0.32075273990631104, 0.3169959783554077, 0.31436243653297424, 0.31351104378700256, 0.31342434883117676, 0.31341588497161865, 0.31333082914352417, 0.3133251667022705, 0.3132903277873993, 0.31329214572906494]",0.8
1,10,2,"[0.5014664530754089, 0.5517684817314148, 0.5833484530448914, 0.6046544313430786, 0.6198299527168274, 0.6311566233634949, 0.6398869752883911, 0.646804928779602, 0.65241539478302, 0.6570358276367188]",0.46
1,10,4,"[0.8274616599082947, 0.7888771295547485, 0.7701137661933899, 0.7624104022979736, 0.7618608474731445, 0.7068468928337097, 0.700851321220398, 0.6990363001823425, 0.6977028846740723, 0.6955806016921997]",0.825
1,10,8,"[0.5794463753700256, 0.6035158634185791, 0.46749255061149597, 0.37918394804000854, 0.33277571201324463, 0.324613481760025, 0.3242994546890259, 0.31688621640205383, 0.3278052806854248, 0.32268866896629333]",0.825
1,10,16,"[0.5740089416503906, 0.6670491695404053, 0.5785233974456787, 0.39046812057495117, 0.335054486989975, 0.33649376034736633, 0.6898293495178223, 0.31882038712501526, 0.31494560837745667, 0.3143669664859772]",0.86
1,10,32,"[0.6431187391281128, 0.6917276978492737, 0.6862770915031433, 0.6923930048942566, 0.6521159410476685, 0.3547609746456146, 0.3155144453048706, 0.3142332434654236, 0.3136986196041107, 0.3134293854236603]",0.83
1,20,2,"[0.49227267503738403, 0.5389270186424255, 0.5690568685531616, 0.5897247791290283, 0.6047130227088928, 0.6160509586334229, 0.6249483823776245, 0.6321316957473755, 0.6379964351654053, 0.6428831219673157]",0.51
1,20,4,"[0.8506776094436646, 0.8000566363334656, 0.7766578793525696, 0.7621996402740479, 0.7521849870681763, 0.7447957992553711, 0.7391636371612549, 0.7347714900970459, 0.7312840223312378, 0.7284736633300781]",0.535
1,20,8,"[0.5592530965805054, 0.6120258569717407, 0.6350459456443787, 0.6501445770263672, 0.6589771509170532, 0.6644769310951233, 0.6678368449211121, 0.670620322227478, 0.6795260310173035, 0.6856737732887268]",0.595
1,20,16,"[0.6321414709091187, 0.6559611558914185, 0.6649096608161926, 0.6668006777763367, 0.6607587337493896, 0.4988214373588562, 0.6849244832992554, 0.6855147480964661, 0.6859604716300964, 0.36954206228256226]",0.61
1,20,32,"[0.7083086967468262, 0.6992036700248718, 0.6971427202224731, 0.6975322961807251, 0.7042757868766785, 0.6937493085861206, 0.694503903388977, 0.6945753693580627, 0.6945777535438538, 0.6940835118293762]",0.69
1,40,2,"[0.5362786054611206, 0.5584310293197632, 0.5748135447502136, 0.5636070370674133, 0.5333993434906006, 0.5184364318847656, 0.5055344700813293, 0.5001926422119141, 0.4933047890663147, 0.49414458870887756]",0.6
1,40,4,"[0.569774329662323, 0.6017923951148987, 0.6237045526504517, 0.6428183317184448, 0.6568073630332947, 0.6662623286247253, 0.6726171374320984, 0.6772101521492004, 0.6804801225662231, 0.6830742955207825]",0.56
