Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
1,5,2,"[0.8556845188140869, 0.7792032957077026, 0.7357960343360901, 0.7126755714416504, 0.7029601335525513, 0.6982432007789612, 0.6961174011230469, 0.6951433420181274, 0.6945029497146606, 0.6938762068748474]",0.955
1,5,4,"[0.4343675971031189, 0.35980233550071716, 0.34929946064949036, 0.3446585237979889, 0.3246311545372009, 0.3236224353313446, 0.3189699649810791, 0.3165678381919861, 0.3173108398914337, 0.3146853446960449]",0.995
1,5,8,"[0.770021915435791, 0.7069012522697449, 0.6980615258216858, 0.6963770389556885, 0.6943384408950806, 0.6938886046409607, 0.6936701536178589, 0.6935365200042725, 0.6933150887489319, 0.6932557821273804]",1.0
1,5,16,"[0.34302443265914917, 0.31892240047454834, 0.3146589696407318, 0.3143868148326874, 0.31394606828689575, 0.3136124610900879, 0.3137108087539673, 0.3134894371032715, 0.31330591440200806, 0.3133881986141205]",1.0
1,5,32,"[0.3211061954498291, 0.31445470452308655, 0.3528970777988434, 0.31364738941192627, 0.31331610679626465, 0.3133784234523773, 0.31363335251808167, 0.3133711814880371, 0.3134137988090515, 0.3133005201816559]",0.995
1,10,2,"[0.4508073627948761, 0.40927815437316895, 0.38583090901374817, 0.3709438443183899, 0.3571571707725525, 0.34716859459877014, 0.3402485251426697, 0.33568453788757324, 0.3318239450454712, 0.32920897006988525]",0.945
1,10,4,"[0.859499454498291, 0.8198249340057373, 0.7439517378807068, 0.7143354415893555, 0.7027750015258789, 0.6979303956031799, 0.6961761713027954, 0.695547342300415, 0.6956217885017395, 0.696263313293457]",0.98
1,10,8,"[0.7372692823410034, 0.7003986239433289, 0.6956392526626587, 0.6945000886917114, 0.6937981247901917, 0.6935925483703613, 0.693388819694519, 0.6933072805404663, 0.6932479739189148, 0.6932114958763123]",1.0
1,10,16,"[0.3218644857406616, 0.3161066770553589, 0.3143232464790344, 0.3140770196914673, 0.3136403262615204, 0.3134766221046448, 0.31330931186676025, 0.31336429715156555, 0.31337666511535645, 0.31336072087287903]",1.0
1,10,32,"[0.7888954877853394, 0.7277088165283203, 0.7067960500717163, 0.7043386101722717, 0.6963307857513428, 0.6963360905647278, 0.694169819355011, 0.6937625408172607, 0.6937261819839478, 0.6942520141601562]",0.485
1,20,2,"[0.9239086508750916, 1.0154292583465576, 1.0873045921325684, 1.1311582326889038, 1.1563143730163574, 1.1632311344146729, 1.1564666032791138, 1.0744719505310059, 1.005434274673462, 0.9108983278274536]",0.97
1,20,4,"[0.9153059720993042, 0.7385784387588501, 0.7089112401008606, 0.7006978392601013, 0.6977724432945251, 0.6959448456764221, 0.6948096752166748, 0.6942246556282043, 0.6938651204109192, 0.693589448928833]",1.0
1,20,8,"[0.3786695599555969, 0.32519760727882385, 0.3181481659412384, 0.31661108136177063, 0.31514108180999756, 0.31448593735694885, 0.31401538848876953, 0.31385287642478943, 0.3136848509311676, 0.3134954571723938]",0.995
1,20,16,"[0.7302004098892212, 0.6991447806358337, 0.6944426894187927, 0.6938348412513733, 0.6934830546379089, 0.6934782266616821, 0.6932928562164307, 0.6932443976402283, 0.6932383179664612, 0.6931822896003723]",1.0
1,20,32,"[0.3172140419483185, 0.3141501843929291, 0.31385374069213867, 0.3134828209877014, 0.313378244638443, 0.6931414604187012, 0.6931426525115967, 0.6931440234184265, 0.6931450366973877, 0.6931458711624146]",0.485
1,40,2,"[0.9832585453987122, 0.8775895833969116, 0.7978910207748413, 0.7531242966651917, 0.7287636995315552, 0.7150946855545044, 0.7068780660629272, 0.7018837332725525, 0.6989948749542236, 0.6971839070320129]",0.91
1,40,4,"[0.3977905213832855, 0.3715127110481262, 0.3541174829006195, 0.334917813539505, 0.3219868242740631, 0.31775444746017456, 0.31594207882881165, 0.315175861120224, 0.31456923484802246, 0.3144773244857788]",1.0
1,40,8,"[0.836252748966217, 0.7294194102287292, 0.701594889163971, 0.6970961689949036, 0.6952269077301025, 0.6943464279174805, 0.6940197944641113, 0.6937422752380371, 0.6934539675712585, 0.693348228931427]",1.0
1,40,16,"[0.3232099115848541, 0.31715136766433716, 0.3144921362400055, 0.3140192925930023, 0.3139696717262268, 0.3135816156864166, 0.3136105239391327, 0.3135078251361847, 0.31361496448516846, 0.3133291006088257]",1.0
1,40,32,"[0.6997696161270142, 0.6949383616447449, 0.6933725476264954, 0.6932532787322998, 0.6932278275489807, 0.6931855082511902, 0.6931759715080261, 0.6931661367416382, 0.6931575536727905, 0.6931541562080383]",0.525
1,80,2,"[0.5000934600830078, 0.44322195649147034, 0.39161399006843567, 0.3646472990512848, 0.34980472922325134, 0.3409055471420288, 0.3358699381351471, 0.3328768014907837, 0.32966336607933044, 0.3267506957054138]",0.91
1,80,4,"[0.5003380179405212, 0.388945609331131, 0.34667110443115234, 0.32703542709350586, 0.3204983174800873, 0.3175297975540161, 0.31590747833251953, 0.31500059366226196, 0.3144124746322632, 0.3140181601047516]",0.995
1,80,8,"[0.33761605620384216, 0.31875696778297424, 0.3159160017967224, 0.31474512815475464, 0.3143202066421509, 0.313956081867218, 0.3140070140361786, 0.3136831820011139, 0.31352680921554565, 0.31342825293540955]",1.0
1,80,16,"[0.31961461901664734, 0.31499892473220825, 0.6888974905014038, 0.31482449173927307, 0.3139396011829376, 0.3137167990207672, 0.31349754333496094, 0.313578724861145, 0.31340858340263367, 0.31347548961639404]",0.995
1,80,32,"[0.6948211193084717, 0.6935017108917236, 0.6945527195930481, 0.6931962370872498, 0.6931679844856262, 0.6931561231613159, 0.6931537389755249, 0.693151593208313, 0.6931501626968384, 0.693149209022522]",0.475
1,160,2,"[0.852627694606781, 0.7894833087921143, 0.7406027317047119, 0.7220299243927002, 0.7127856016159058, 0.7056060433387756, 0.7008957266807556, 0.6981536746025085, 0.69640052318573, 0.6950798630714417]",0.985
1,160,4,"[0.5368384122848511, 0.3977278172969818, 0.3458636403083801, 0.3269270062446594, 0.3204054832458496, 0.31750863790512085, 0.31601202487945557, 0.31507253646850586, 0.3145127594470978, 0.3141000270843506]",1.0
1,160,8,"[0.5403192043304443, 0.3278190493583679, 0.3181760013103485, 0.3155435621738434, 0.3147297203540802, 0.31420886516571045, 0.3138796091079712, 0.3136722147464752, 0.31353577971458435, 0.3134477734565735]",1.0
1,160,16,"[0.3236948847770691, 0.31561678647994995, 0.31468847393989563, 0.31406527757644653, 0.31372517347335815, 0.3135633170604706, 0.3134442865848541, 0.3133811056613922, 0.31342512369155884, 0.3136192560195923]",1.0
1,160,32,"[0.6978102326393127, 0.6938706040382385, 0.6934085488319397, 1.313001036643982, 1.3132083415985107, 0.6931589245796204, 0.6931799650192261, 0.6931855082511902, 0.6931861042976379, 0.6931817531585693]",0.485
2,5,2,"[0.39901402592658997, 0.37280842661857605, 0.35574960708618164, 0.3452073335647583, 0.33752912282943726, 0.3321133852005005, 0.3275151252746582, 0.3246863782405853, 0.3233200013637543, 0.3218099772930145]",0.98
