Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
1,5,2,"[0.8758323788642883, 0.8775395750999451, 0.870532751083374, 0.8405371904373169, 0.784689724445343, 0.8264805674552917, 0.7350195646286011, 0.7328008413314819, 0.7320364117622375, 0.7233765721321106]",0.85
1,5,4,"[0.4842965006828308, 0.4395025074481964, 0.3687301278114319, 0.4049701988697052, 0.3369863033294678, 0.32834291458129883, 0.3352600634098053, 0.3201763927936554, 0.31981152296066284, 0.3180551826953888]",0.875
1,5,8,"[0.3684481978416443, 0.34340256452560425, 0.33438923954963684, 0.32033771276474, 0.3167732357978821, 0.3152468502521515, 0.3150518238544464, 0.3141465187072754, 0.31370940804481506, 0.31356820464134216]",0.92
1,5,16,"[0.3424152433872223, 0.31974539160728455, 0.3174390196800232, 0.3142457604408264, 0.31362271308898926, 0.31349673867225647, 0.3134181499481201, 0.3134823739528656, 0.31336307525634766, 0.3132982552051544]",0.95
1,5,32,"[1.262481689453125, 1.3123284578323364, 1.311712622642517, 1.3122669458389282, 1.312919020652771, 1.3131674528121948, 1.3132297992706299, 1.3131697177886963, 1.3131866455078125, 1.3132600784301758]",0.955
1,10,2,"[0.8744276762008667, 0.8332273960113525, 0.8080103993415833, 0.7917618751525879, 0.7808064222335815, 0.7732140421867371, 0.7678658366203308, 0.7643638253211975, 0.7621201276779175, 0.7608740329742432]",0.545
1,10,4,"[0.8234190940856934, 0.7998276948928833, 0.790455162525177, 0.8025439977645874, 0.7798197865486145, 0.7383856773376465, 0.7155967354774475, 0.7036758661270142, 0.6986947059631348, 0.6974531412124634]",0.92
1,10,8,"[0.5576692223548889, 0.6079487204551697, 0.6292777061462402, 0.6374707221984863, 0.6365834474563599, 0.6241501569747925, 0.5671940445899963, 0.40602928400039673, 0.447443425655365, 0.46389418840408325]",0.82
1,10,16,"[0.8422085046768188, 0.8616253137588501, 0.7221665382385254, 0.7063389420509338, 0.7010263800621033, 0.6941924691200256, 0.6944268345832825, 0.6934277415275574, 0.6934657692909241, 0.6931903958320618]",0.56
1,10,32,"[1.0616118907928467, 0.6934150457382202, 0.6932491064071655, 0.6931957602500916, 0.6931736469268799, 0.6931625008583069, 0.6931564807891846, 0.6931529641151428, 0.6931508183479309, 0.6931495070457458]",0.49
1,20,2,"[0.9698078632354736, 0.8884165287017822, 0.8421400785446167, 0.8129632472991943, 0.7929080128669739, 0.7782601118087769, 0.767087996006012, 0.7582915425300598, 0.7512023448944092, 0.7453814148902893]",0.5
1,20,4,"[0.5496348738670349, 0.5722813010215759, 0.5617278814315796, 0.5362106561660767, 0.5238258242607117, 0.5174009799957275, 0.5131235718727112, 0.5108402967453003, 0.5106571912765503, 0.5129295587539673]",0.615
1,20,8,"[0.808742880821228, 0.8381530046463013, 0.9283086061477661, 0.9482296705245972, 0.951661229133606, 1.0380643606185913, 1.045140027999878, 0.9739834666252136, 0.8923994898796082, 0.8415631651878357]",0.645
1,20,16,"[0.8614662885665894, 0.7985479235649109, 0.7854235172271729, 0.7619011402130127, 0.7418450713157654, 0.7501959800720215, 0.7404569983482361, 0.7198268175125122, 0.7217634916305542, 0.716921329498291]",0.49
1,20,32,"[0.7354546785354614, 0.7009479999542236, 0.6960927248001099, 0.6949588060379028, 0.6949836015701294, 0.6938620209693909, 0.6935388445854187, 0.6933848857879639, 0.6932792663574219, 0.6932292580604553]",0.51
1,40,2,"[0.5610839128494263, 0.5627386569976807, 0.4643421173095703, 0.3912774920463562, 0.3632412850856781, 0.3478715419769287, 0.33841124176979065, 0.33207231760025024, 0.3278355300426483, 0.3247596025466919]",0.87
1,40,4,"[0.46459197998046875, 0.3949531018733978, 0.3505189120769501, 0.331172376871109, 0.32378873229026794, 0.3199438154697418, 0.31773483753204346, 0.3164788782596588, 0.3156680762767792, 0.31517526507377625]",0.83
1,40,8,"[0.42128053307533264, 0.3372325599193573, 0.3239997923374176, 0.31925517320632935, 0.3168003261089325, 0.31549590826034546, 0.3147255480289459, 0.3142675459384918, 0.3139728009700775, 0.3137837052345276]",0.85
1,40,16,"[0.35508963465690613, 0.33320343494415283, 0.3249940872192383, 0.3217103183269501, 0.320039302110672, 0.31892067193984985, 0.31763556599617004, 0.3167514503002167, 0.3153635561466217, 0.31437182426452637]",0.86
1,40,32,"[0.8865714073181152, 0.7266398668289185, 0.7032017111778259, 0.6976215243339539, 0.6960510611534119, 0.6951284408569336, 0.693591833114624, 0.6938976049423218, 0.69371497631073, 0.6934977769851685]",0.805
1,80,2,"[0.5065420866012573, 0.5082009434700012, 0.43562638759613037, 0.41756367683410645, 0.40365609526634216, 0.39293351769447327, 0.384052574634552, 0.3765987753868103, 0.3721519112586975, 0.36819085478782654]",0.87
1,80,4,"[0.5298800468444824, 0.40279531478881836, 0.34623828530311584, 0.3327820897102356, 0.3259675204753876, 0.3220497965812683, 0.3194630742073059, 0.31782686710357666, 0.3168104887008667, 0.3160622715950012]",0.905
1,80,8,"[0.44480475783348083, 0.3930704891681671, 0.37066787481307983, 0.35877710580825806, 0.35084158182144165, 0.3451060354709625, 0.3397725224494934, 0.3368905484676361, 0.3336940109729767, 0.3316296339035034]",0.815
