Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
1,5,2,"[0.9611197113990784, 0.9984701871871948, 0.902563214302063, 0.8489828705787659, 0.7873717546463013, 0.760251522064209, 0.7500354647636414, 0.774714469909668, 0.7066246867179871, 0.7030541896820068]",0.98
1,5,4,"[0.8992699384689331, 0.751777172088623, 0.7079337239265442, 0.6988193988800049, 0.6956498026847839, 0.6945040822029114, 0.6939530372619629, 0.6937417387962341, 0.6935166120529175, 0.6933951377868652]",0.995
1,5,8,"[0.34403377771377563, 0.3258805274963379, 0.3183025121688843, 0.31624865531921387, 0.3145773410797119, 0.3143596351146698, 0.3139173984527588, 0.31365323066711426, 0.313588410615921, 0.31354448199272156]",0.985
1,5,16,"[0.7362954616546631, 0.6955868005752563, 0.6938267350196838, 0.6934694051742554, 0.693220317363739, 0.6931809186935425, 0.6931630373001099, 0.6931561827659607, 0.6931505799293518, 0.6931496262550354]",0.995
1,5,32,"[0.31517675518989563, 0.3136821389198303, 0.313461035490036, 0.31338241696357727, 0.31338581442832947, 0.3133024275302887, 0.3133356273174286, 0.3132755756378174, 0.3132658302783966, 0.31327497959136963]",0.99
1,10,2,"[0.48046427965164185, 0.4098045825958252, 0.3733178675174713, 0.35590213537216187, 0.34429818391799927, 0.33600711822509766, 0.3308764100074768, 0.32764604687690735, 0.32541537284851074, 0.32490408420562744]",0.99
1,10,4,"[0.5642978549003601, 0.5966544151306152, 0.4796980023384094, 0.3708743155002594, 0.34082671999931335, 0.3272795081138611, 0.3212302625179291, 0.318082332611084, 0.3165869414806366, 0.31550946831703186]",1.0
1,10,8,"[0.7521865367889404, 0.703014075756073, 0.6961898803710938, 0.6944550275802612, 0.693866491317749, 0.6935294270515442, 0.6933649182319641, 0.6932699084281921, 0.6932241320610046, 0.6931940317153931]",1.0
1,10,16,"[0.7014344334602356, 0.6946835517883301, 0.6937827467918396, 0.6934033036231995, 0.6932958364486694, 0.6932425498962402, 0.6931917071342468, 0.6931775212287903, 0.6931676864624023, 0.6931570768356323]",0.48
1,10,32,"[0.7009954452514648, 0.6938761472702026, 0.6932274699211121, 0.6932175755500793, 0.6931891441345215, 0.6931712627410889, 0.6931638717651367, 0.6931552290916443, 0.6931569576263428, 0.6931524872779846]",0.465
1,20,2,"[0.9951543807983398, 0.8668514490127563, 0.8330293297767639, 0.8015923500061035, 0.7547587156295776, 0.7243118286132812, 0.7090358734130859, 0.7017146944999695, 0.6980034708976746, 0.6959022283554077]",0.875
1,20,4,"[0.8228869438171387, 0.7908462285995483, 0.7507976293563843, 0.7185152769088745, 0.7064549326896667, 0.7012887001037598, 0.6985800266265869, 0.6973749399185181, 0.696120023727417, 0.6949195861816406]",0.995
1,20,8,"[0.391472727060318, 0.33811408281326294, 0.3203139901161194, 0.31615081429481506, 0.31490907073020935, 0.31436461210250854, 0.3139774203300476, 0.32808956503868103, 0.31364598870277405, 0.3135491907596588]",1.0
1,20,16,"[0.32670003175735474, 0.31566980481147766, 0.6924034953117371, 0.6924867033958435, 0.6925684809684753, 0.6926121711730957, 0.6924635767936707, 0.3139288127422333, 0.3135842978954315, 0.31351208686828613]",0.995
1,20,32,"[0.316569060087204, 0.31691765785217285, 0.6928011775016785, 0.6927918791770935, 0.6925668716430664, 0.3136153221130371, 0.6931231021881104, 0.6931267380714417, 0.6931305527687073, 0.6931341886520386]",0.53
1,40,2,"[0.529023289680481, 0.5214310884475708, 0.46237778663635254, 0.4075668752193451, 0.378526508808136, 0.3624572455883026, 0.3517342805862427, 0.34449905157089233, 0.3400128483772278, 0.33542296290397644]",0.975
1,40,4,"[0.8003346920013428, 0.7467750906944275, 0.7218642234802246, 0.7074853181838989, 0.7000766396522522, 0.696580171585083, 0.694962203502655, 0.6942366361618042, 0.693718671798706, 0.6935115456581116]",1.0
1,40,8,"[0.7127346396446228, 0.695609450340271, 0.6939887404441833, 0.6935436129570007, 0.6933666467666626, 0.6932669281959534, 0.6932114958763123, 0.6931853294372559, 0.6931692361831665, 0.693161129951477]",0.99
1,40,16,"[0.70546555519104, 0.6952587962150574, 0.6941588521003723, 0.6934475898742676, 0.6948586702346802, 0.6933212280273438, 0.6932357549667358, 0.693199872970581, 0.6931816339492798, 0.6931653022766113]",1.0
1,40,32,"[0.31598204374313354, 0.31476879119873047, 0.31379014253616333, 0.3134002983570099, 0.31342625617980957, 0.3133828639984131, 0.313303142786026, 0.31331342458724976, 0.3132862150669098, 0.3132743835449219]",1.0
1,80,2,"[0.49803876876831055, 0.5314019322395325, 0.5266953706741333, 0.4534713923931122, 0.4178561866283417, 0.4000483751296997, 0.38825833797454834, 0.3778928518295288, 0.3670274019241333, 0.3578067123889923]",0.875
1,80,4,"[0.9351133704185486, 0.8545389175415039, 0.781617283821106, 0.7182721495628357, 0.7103986144065857, 0.6981354355812073, 0.6952529549598694, 0.6944029331207275, 0.693793535232544, 0.69441157579422]",0.99
1,80,8,"[0.41502970457077026, 0.32571983337402344, 0.31852248311042786, 0.3322041928768158, 0.31537148356437683, 0.3142094612121582, 0.31385886669158936, 0.31367212533950806, 0.3134970963001251, 0.3134184181690216]",0.99
1,80,16,"[0.7344397902488708, 0.7016991972923279, 0.6966413855552673, 0.6949334740638733, 0.6937640309333801, 0.6935319900512695, 0.6934191584587097, 0.6932984590530396, 0.6932416558265686, 0.6932158470153809]",1.0
1,80,32,"[0.7510896325111389, 0.7768333554267883, 0.6943679451942444, 0.6935582756996155, 0.6933728456497192, 0.6933050155639648, 0.6933374404907227, 0.6936464905738831, 0.6932728290557861, 0.693202018737793]",1.0
1,160,2,"[0.5218833684921265, 0.5740890502929688, 0.5967482328414917, 0.5853101015090942, 0.43560802936553955, 0.3836880922317505, 0.36381539702415466, 0.3518179655075073, 0.3427625596523285, 0.33586567640304565]",0.96
1,160,4,"[0.7951167821884155, 0.7185661792755127, 0.7042242288589478, 0.699172854423523, 0.6966503858566284, 0.6953065395355225, 0.6945528388023376, 0.6942251324653625, 0.6937618255615234, 0.6935505270957947]",1.0
1,160,8,"[0.7655053734779358, 0.7033184766769409, 0.6975017786026001, 0.69523024559021, 0.6944369673728943, 0.6939025521278381, 0.6937592625617981, 0.6934942007064819, 0.6934320330619812, 0.6933355331420898]",1.0
1,160,16,"[0.7002224326133728, 0.6948105692863464, 0.6937071084976196, 0.693408191204071, 0.6932802796363831, 0.693203866481781, 0.6931967735290527, 0.6931856274604797, 0.6931769847869873, 0.6931705474853516]",0.43
1,160,32,"[0.697773277759552, 0.695003867149353, 0.7716560363769531, 0.6942970752716064, 0.6935608386993408, 0.6933553814888, 0.6932557225227356, 0.6932094097137451, 0.6931846737861633, 0.6931716203689575]",1.0
3,5,2,"[0.8837878704071045, 0.7523640394210815, 0.7336555123329163, 0.7217395305633545, 0.713679313659668, 0.7073542475700378, 0.7028893828392029, 0.6998273134231567, 0.6977432370185852, 0.6965088844299316]",0.94
3,5,4,"[0.7625366449356079, 0.7210649251937866, 0.7066003084182739, 0.7004144191741943, 0.6973807215690613, 0.6956247687339783, 0.6947000026702881, 0.6941910982131958, 0.6938346028327942, 0.6936128735542297]",0.98
3,5,8,"[0.35259589552879333, 0.33978042006492615, 0.333630234003067, 0.32118451595306396, 0.3176642954349518, 0.315391480922699, 0.31536608934402466, 0.31404560804367065, 0.31365278363227844, 0.31514593958854675]",1.0
3,5,16,"[0.3322027623653412, 0.31591129302978516, 0.32143497467041016, 0.31397271156311035, 0.3136400580406189, 0.31351983547210693, 0.31349822878837585, 0.3133529722690582, 0.3133205473423004, 0.3132944107055664]",0.99
3,5,32,"[0.6949105858802795, 0.6934210062026978, 0.6932471394538879, 0.6932314038276672, 0.693185567855835, 0.6931659579277039, 0.693158745765686, 0.6931562423706055, 0.6931518912315369, 0.693150520324707]",1.0
3,10,2,"[1.038297176361084, 1.0938787460327148, 1.1505978107452393, 1.2000842094421387, 1.23481023311615, 1.256829023361206, 1.2734358310699463, 1.2840763330459595, 1.2910525798797607, 1.2957881689071655]",0.94
3,10,4,"[0.4290611743927002, 0.3945651948451996, 0.36555054783821106, 0.3478962779045105, 0.33848220109939575, 0.33145517110824585, 0.32731524109840393, 0.3245713412761688, 0.3237500786781311, 0.3214128613471985]",0.97
3,10,8,"[1.0796860456466675, 0.7295615673065186, 0.719218373298645, 0.7055010199546814, 0.7028099894523621, 0.6998939514160156, 0.6973510384559631, 0.6961950063705444, 0.6954943537712097, 0.6951884031295776]",1.0
3,10,16,"[0.7129415273666382, 0.6972188353538513, 0.6947925686836243, 0.6934314966201782, 0.693381667137146, 0.6934000253677368, 0.6944193243980408, 0.6934524178504944, 0.6933314204216003, 0.69328773021698]",0.51
3,10,32,"[0.7107326984405518, 0.695484459400177, 0.6935827136039734, 0.6933189630508423, 0.6932205557823181, 0.6931936144828796, 0.6931648254394531, 0.6931641697883606, 0.6931582093238831, 0.6931552290916443]",1.0
3,20,2,"[1.1540623903274536, 1.116191029548645, 0.9138750433921814, 0.8388795852661133, 0.7640258073806763, 0.7410875558853149, 0.7218114137649536, 0.7166473865509033, 0.7080124020576477, 0.7159661054611206]",0.97
3,20,4,"[0.41225141286849976, 0.38703545928001404, 0.3676068186759949, 0.34662237763404846, 0.33372074365615845, 0.3275362551212311, 0.3234061002731323, 0.320579469203949, 0.31911855936050415, 0.3174740970134735]",1.0
3,20,8,"[0.9765207767486572, 1.001800537109375, 0.8416520357131958, 0.9536457061767578, 0.9271359443664551, 0.7994473576545715, 0.7952643036842346, 0.7125439643859863, 0.7382635474205017, 0.8072856664657593]",0.99
3,20,16,"[0.7487069964408875, 0.6994149684906006, 0.6951941251754761, 0.6941758990287781, 0.6951098442077637, 0.6933883428573608, 0.6933043003082275, 0.6932762265205383, 0.6932209730148315, 0.6931980848312378]",1.0
3,20,32,"[0.32016152143478394, 0.3154960870742798, 0.3143337070941925, 0.6929072141647339, 0.6929837465286255, 0.6930317878723145, 0.6930702924728394, 0.6930946111679077, 0.6931111812591553, 0.6931234002113342]",0.475
3,40,2,"[0.9910871982574463, 1.015010952949524, 1.0097854137420654, 1.017831802368164, 0.9473095536231995, 0.8260327577590942, 0.9696881771087646, 0.8164888620376587, 0.8209406137466431, 0.8024049401283264]",0.87
3,40,4,"[0.813728392124176, 0.7443587779998779, 0.7171912789344788, 0.7062220573425293, 0.7002308368682861, 0.6972139477729797, 0.6955193877220154, 0.6946060061454773, 0.6941518187522888, 0.6937583684921265]",0.7
3,40,8,"[0.39891669154167175, 0.34507766366004944, 0.34311315417289734, 0.32227620482444763, 0.3179830312728882, 0.31578394770622253, 0.3149021863937378, 0.3149054944515228, 0.3141390383243561, 0.3137432038784027]",0.995
3,40,16,"[1.0757113695144653, 0.7095485925674438, 0.6978695392608643, 0.6947872042655945, 0.6940532326698303, 0.6935337781906128, 0.6934173703193665, 0.6933048963546753, 0.6932504773139954, 0.6932365298271179]",0.985
3,40,32,"[1.2548859119415283, 0.9414242506027222, 0.9854887127876282, 0.7373787760734558, 0.6966515779495239, 0.6966294646263123, 0.6949624419212341, 0.6940271258354187, 0.6938014030456543, 0.6933706402778625]",1.0
3,80,2,"[0.8745684623718262, 0.8129750490188599, 0.7302832007408142, 0.7234780192375183, 0.7247381210327148, 0.6986200213432312, 0.6962212324142456, 0.6953091025352478, 0.6946533918380737, 0.6942312121391296]",0.975
3,80,4,"[0.4632309079170227, 0.43082523345947266, 0.3337024748325348, 0.32655832171440125, 0.3225495219230652, 0.3189064562320709, 0.31711333990097046, 0.315998911857605, 0.3153025209903717, 0.3147760331630707]",0.995
3,80,8,"[0.4029262959957123, 0.35759469866752625, 0.33413392305374146, 0.32576099038124084, 0.3190416097640991, 0.3165006935596466, 0.31530511379241943, 0.31451213359832764, 0.3140619695186615, 0.316028892993927]",0.95
3,80,16,"[0.7561615705490112, 0.7073017954826355, 0.7020072937011719, 0.6974116563796997, 0.697036862373352, 1.112970232963562, 0.6986895203590393, 0.6933561563491821, 0.7033195495605469, 0.6936726570129395]",0.99
3,80,32,"[1.0568435192108154, 0.7010765075683594, 0.6954396367073059, 0.6938735246658325, 0.6934839487075806, 0.693303644657135, 0.8176963329315186, 0.6986566185951233, 0.6959290504455566, 0.6952049732208252]",1.0
3,160,2,"[0.46643194556236267, 0.4595082700252533, 0.44899749755859375, 0.4343276619911194, 0.41891828179359436, 0.40478888154029846, 0.39097726345062256, 0.3807845711708069, 0.3704582750797272, 0.36146947741508484]",0.855
3,160,4,"[0.7843894958496094, 0.7647315263748169, 0.7473008036613464, 0.733033299446106, 0.7250586152076721, 0.718998908996582, 1.1288762092590332, 1.0985920429229736, 0.7086253762245178, 0.7141056060791016]",0.565
3,160,8,"[0.43450918793678284, 0.4209131896495819, 0.3898792564868927, 0.36066731810569763, 0.34540095925331116, 0.3829611539840698, 0.32392728328704834, 0.31700700521469116, 0.3179706037044525, 0.3147834241390228]",0.995
3,160,16,"[0.37071725726127625, 0.3220410943031311, 0.3179071247577667, 0.31568390130996704, 0.3147493898868561, 0.3144667148590088, 0.6927201747894287, 0.6927167177200317, 0.6926974058151245, 0.6926203966140747]",0.54
3,160,32,"[0.37599000334739685, 0.42482826113700867, 0.4512104392051697, 0.35030150413513184, 0.434262752532959, 0.4177813231945038, 0.333693265914917, 0.31636473536491394, 0.314790815114975, 0.3143490254878998]",0.995
5,5,2,"[0.851866602897644, 0.825143575668335, 0.8038275241851807, 0.7153136730194092, 0.7082106471061707, 0.7034893035888672, 0.7010442614555359, 0.6993603706359863, 0.6981936693191528, 0.697277843952179]",0.805
5,5,4,"[0.8777884244918823, 0.7658720016479492, 0.7310768365859985, 0.7098322510719299, 0.7024585604667664, 0.6976590752601624, 0.6971815228462219, 0.6953629851341248, 0.6940523982048035, 0.6940390467643738]",0.995
5,5,8,"[0.8392499685287476, 0.733447790145874, 0.6997326016426086, 0.6959714293479919, 0.6946109533309937, 0.6939482688903809, 0.6936472058296204, 0.6934561133384705, 0.69337397813797, 0.6933053731918335]",1.0
5,5,16,"[0.3220307230949402, 0.3217563033103943, 0.3140387237071991, 0.31376340985298157, 0.3137114942073822, 0.3134605884552002, 0.31338173151016235, 0.31334105134010315, 0.3136025071144104, 0.3133420944213867]",1.0
5,5,32,"[0.3155882656574249, 0.31373918056488037, 0.3137216866016388, 0.3141028881072998, 0.3133958578109741, 0.3139779269695282, 0.3132798671722412, 0.31385156512260437, 0.31387412548065186, 0.3133869469165802]",1.0
5,10,2,"[0.91251540184021, 0.9200806021690369, 0.9274152517318726, 0.9411592483520508, 0.9518649578094482, 0.9614719748497009, 0.9750651717185974, 0.9689042568206787, 0.9740636348724365, 0.973752498626709]",0.705
5,10,4,"[0.996442437171936, 0.9930230975151062, 0.9432026147842407, 0.9279341101646423, 0.9268512725830078, 0.867987871170044, 0.8983627557754517, 0.7986312508583069, 0.7696011662483215, 0.7435492873191833]",0.905
5,10,8,"[0.36739581823349, 0.3479290306568146, 0.327787846326828, 0.32107850909233093, 0.3185962438583374, 0.31703251600265503, 0.6923874616622925, 0.6924866437911987, 0.692573606967926, 0.6926586627960205]",0.485
5,10,16,"[0.3407527804374695, 0.32472875714302063, 0.3186309337615967, 0.3167286813259125, 0.3154296576976776, 0.3155309557914734, 0.31532859802246094, 0.3136792778968811, 0.3137156069278717, 0.3141700327396393]",1.0
5,10,32,"[0.7070785760879517, 0.7111716270446777, 0.6941560506820679, 0.6934395432472229, 0.6932642459869385, 0.6931929588317871, 0.6934216022491455, 0.6931565999984741, 0.6931734085083008, 0.6931513547897339]",0.995
5,20,2,"[0.44810551404953003, 0.43300631642341614, 0.4110787808895111, 0.3936081528663635, 0.38134893774986267, 0.37130409479141235, 0.36523324251174927, 0.3596556484699249, 0.35435304045677185, 0.35042184591293335]",0.915
5,20,4,"[0.9369039535522461, 0.8681470155715942, 0.8266422748565674, 0.799193263053894, 0.7753418684005737, 0.7443388104438782, 0.7317731976509094, 0.7250388860702515, 0.7198300361633301, 0.7087604999542236]",0.945
5,20,8,"[0.355232298374176, 0.35314321517944336, 0.360636830329895, 0.35583072900772095, 0.34145405888557434, 0.330298513174057, 0.339426189661026, 0.33880743384361267, 0.3295044004917145, 0.3311362564563751]",0.915
5,20,16,"[0.8389286994934082, 0.7501915693283081, 1.1971691846847534, 0.8179755210876465, 0.8731374740600586, 0.8490252494812012, 0.9085707664489746, 0.959333062171936, 0.7055985331535339, 0.69624924659729]",0.95
5,20,32,"[0.7167025804519653, 0.6979244351387024, 0.6949371099472046, 0.6941103339195251, 0.6935416460037231, 0.6933417916297913, 0.6938527822494507, 0.6936798691749573, 0.6934619545936584, 0.6934816241264343]",0.99
5,40,2,"[0.40040403604507446, 0.3910192847251892, 0.3805074989795685, 0.3736329674720764, 0.3681117594242096, 0.36448776721954346, 0.3620683252811432, 0.36087051033973694, 0.3572264015674591, 0.35376882553100586]",0.835
5,40,4,"[1.0542409420013428, 0.7607889771461487, 0.7404563426971436, 0.7234364748001099, 0.7126049995422363, 0.7064651250839233, 0.7097877860069275, 0.7094480991363525, 0.7025257349014282, 0.7049351334571838]",0.91
5,40,8,"[0.39480555057525635, 0.3678869307041168, 0.4140297472476959, 0.4067615866661072, 0.38775429129600525, 0.3510991632938385, 0.3366609811782837, 0.32404670119285583, 0.3219241797924042, 0.3193843364715576]",0.975
5,40,16,"[0.454215943813324, 0.4635976552963257, 0.42441192269325256, 0.3853895664215088, 0.4222341775894165, 0.36895039677619934, 0.34645360708236694, 0.6517511010169983, 0.42382416129112244, 0.36147502064704895]",0.785
5,40,32,"[0.40287157893180847, 0.457443505525589, 0.5603656768798828, 0.353346586227417, 0.35347309708595276, 0.40786120295524597, 0.6489388942718506, 0.5217488408088684, 0.4059988558292389, 0.3421644866466522]",0.845
5,80,2,"[0.9319398403167725, 0.8760078549385071, 0.8365565538406372, 0.8084683418273926, 0.7887177467346191, 0.7740290760993958, 0.7627671360969543, 0.7537828087806702, 0.7464683055877686, 0.7404224872589111]",0.565
5,80,4,"[0.9513367414474487, 1.0158418416976929, 1.0538136959075928, 1.0781011581420898, 1.1055724620819092, 1.1262954473495483, 1.0969622135162354, 1.0458147525787354, 0.9163949489593506, 0.8794749975204468]",0.875
5,80,8,"[0.8980121612548828, 0.8990426063537598, 0.8581128120422363, 0.8281370401382446, 0.8138564825057983, 0.8297214508056641, 0.9097533226013184, 0.8308372497558594, 0.8486928939819336, 0.8548026084899902]",0.74
5,80,16,"[0.46236032247543335, 0.4999702572822571, 0.5281230807304382, 0.40639832615852356, 0.4945257604122162, 0.4968608021736145, 0.6461687088012695, 0.6339738368988037, 0.3578174412250519, 0.3559512197971344]",0.82
5,80,32,"[0.34990379214286804, 0.39019298553466797, 0.3148399889469147, 0.3225196301937103, 0.3984752595424652, 0.31913840770721436, 0.32879555225372314, 0.3287583887577057, 0.3259463608264923, 0.3385961353778839]",0.865
5,160,2,"[0.7700115442276001, 0.7434181571006775, 0.7414693832397461, 0.7330238819122314, 0.7353664636611938, 0.7288503050804138, 0.7223207950592041, 0.7169957160949707, 0.7126829624176025, 0.7091675996780396]",0.905
5,160,4,"[0.43125054240226746, 0.41269975900650024, 0.3832557499408722, 0.36093899607658386, 0.35193416476249695, 0.35181736946105957, 0.33751553297042847, 0.332953542470932, 0.3296540081501007, 0.32961276173591614]",0.975
5,160,8,"[0.41634610295295715, 0.4329558312892914, 0.37927645444869995, 0.4814542531967163, 0.3801819384098053, 0.4754035174846649, 0.3422703146934509, 0.3285847008228302, 0.5979242920875549, 0.32698479294776917]",0.765
5,160,16,"[0.9209355711936951, 0.7121875882148743, 1.221577525138855, 0.8430051803588867, 0.7191956043243408, 0.8371161222457886, 0.8226244449615479, 0.8645472526550293, 0.9341726303100586, 0.8806295990943909]",0.59
5,160,32,"[0.9287720918655396, 0.7783434391021729, 1.2873497009277344, 0.6959030628204346, 0.7232399582862854, 0.7092981934547424, 0.6939838528633118, 0.6945657730102539, 0.7138481140136719, 0.6938413977622986]",0.805
9,5,2,"[1.0147061347961426, 0.8582425117492676, 0.7853312492370605, 0.7581773400306702, 0.7438532710075378, 0.7335414290428162, 0.7258557081222534, 0.7201375365257263, 0.7155144214630127, 0.7116987109184265]",0.785
9,5,4,"[0.8446767926216125, 0.762877881526947, 0.733735203742981, 0.7175833582878113, 0.7469561100006104, 0.7181078195571899, 0.6986240744590759, 0.6956344842910767, 0.6952361464500427, 0.6946014761924744]",0.97
9,5,8,"[0.3876842260360718, 0.3481486141681671, 0.3356490731239319, 0.3291410207748413, 0.32531702518463135, 0.3228939473628998, 0.32034316658973694, 0.31856295466423035, 0.318118155002594, 0.3170875608921051]",0.985
