Sequence Length,Hidden Size,Loss Vector,Accuracy
20,2,"[0.439949631690979, 0.42324426770210266, 0.4029150605201721, 0.3525168001651764, 0.35944005846977234, 0.3402494788169861, 0.330923855304718, 0.33033278584480286, 0.32890838384628296, 0.3328782618045807]",0.955
20,4,"[0.4606761932373047, 0.38068729639053345, 0.3422609269618988, 0.34804266691207886, 0.32539358735084534, 0.32211536169052124, 0.3275952637195587, 0.3195214569568634, 0.3165447413921356, 0.3157958686351776]",0.995
20,6,"[0.8666249513626099, 0.7165396809577942, 0.6991711854934692, 0.6951026916503906, 0.6942935585975647, 0.6937271356582642, 0.6935230493545532, 0.6936843991279602, 0.6935116648674011, 0.6932101249694824]",0.99
20,8,"[0.33986562490463257, 0.33331698179244995, 0.31918078660964966, 0.31576675176620483, 0.3143901228904724, 0.31394484639167786, 0.3142346441745758, 0.3134815990924835, 0.3135775923728943, 0.3134842813014984]",0.995
20,10,"[0.5644429326057434, 0.35002800822257996, 0.3194522559642792, 0.31803661584854126, 0.31480246782302856, 0.3142608404159546, 0.31418561935424805, 0.31419074535369873, 0.31393465399742126, 0.3135364055633545]",0.995
20,12,"[0.7191322445869446, 0.6965592503547668, 0.694706916809082, 0.6937426924705505, 0.6935443878173828, 0.6933695077896118, 0.693266749382019, 0.6932561993598938, 0.6932092308998108, 0.6931816935539246]",0.99
20,14,"[0.32205715775489807, 0.3173607289791107, 0.3150239884853363, 0.31407633423805237, 0.314052551984787, 0.3135749101638794, 0.3133809566497803, 0.3134448230266571, 0.31339409947395325, 0.31344541907310486]",1.0
20,16,"[0.32461780309677124, 0.3170587420463562, 0.31482797861099243, 0.31410977244377136, 0.3137407600879669, 0.3135905861854553, 0.31414303183555603, 0.3133464455604553, 0.31331828236579895, 0.3133144676685333]",0.995
20,18,"[0.7020376324653625, 0.6940750479698181, 0.6935056447982788, 0.6933773159980774, 0.6932379007339478, 0.6932485103607178, 0.6931700706481934, 0.6931989789009094, 0.6931522488594055, 0.6931554079055786]",0.99
20,20,"[0.3249782621860504, 0.3143479824066162, 0.31427493691444397, 0.6927692294120789, 0.6927112340927124, 0.6928823590278625, 0.6926738023757935, 0.31725355982780457, 0.31356993317604065, 0.6930965185165405]",0.56
20,22,"[0.31951650977134705, 0.31404149532318115, 0.3140822649002075, 0.3156788647174835, 0.31459614634513855, 0.3134301006793976, 0.31512004137039185, 0.31431838870048523, 0.3134233057498932, 0.3134557008743286]",0.995
20,24,"[0.31703200936317444, 0.3146069347858429, 0.31486859917640686, 0.31354039907455444, 0.3134312331676483, 0.6931343078613281, 0.6931405067443848, 0.6931422352790833, 0.6931403875350952, 0.6931452751159668]",0.56
40,2,"[0.5138640999794006, 0.4567221403121948, 0.41880881786346436, 0.3598841726779938, 0.34261685609817505, 0.34364742040634155, 0.3366619944572449, 0.3331703841686249, 0.32461220026016235, 0.32847681641578674]",0.945
40,4,"[0.37211090326309204, 0.3535396456718445, 0.33133697509765625, 0.344429612159729, 0.3196277916431427, 0.32827749848365784, 0.3185099959373474, 0.3199363052845001, 0.31640729308128357, 0.3153156340122223]",1.0
40,6,"[0.7317082285881042, 0.7050147652626038, 0.696509838104248, 0.6942724585533142, 0.693949818611145, 0.6934940218925476, 0.693475604057312, 0.6932616829872131, 0.6933026313781738, 0.6932398676872253]",1.0
40,8,"[0.8190505504608154, 0.7156312465667725, 0.6978549361228943, 0.6973640322685242, 0.6937969923019409, 0.6944389939308167, 0.693575382232666, 0.6933854222297668, 0.6936565041542053, 0.6932358145713806]",1.0
40,10,"[0.3652290999889374, 0.3360149562358856, 0.3176511824131012, 0.3152729272842407, 0.31405431032180786, 0.314361035823822, 0.691181480884552, 0.6631536483764648, 0.315251886844635, 0.3142740726470947]",0.995
40,12,"[0.9198074340820312, 0.8485080599784851, 0.738595724105835, 0.7190225720405579, 0.6979663372039795, 0.7022829651832581, 0.6946531534194946, 0.6976078152656555, 0.6933090686798096, 0.694429337978363]",0.965
40,14,"[0.40424787998199463, 0.3194339871406555, 0.31518587470054626, 0.6919604539871216, 0.3140886127948761, 0.3136582672595978, 0.3134203255176544, 0.3133983016014099, 0.3134301006793976, 0.3133156895637512]",0.995
40,16,"[1.0917023420333862, 1.215360403060913, 1.2484478950500488, 1.293278455734253, 1.2895922660827637, 1.2956454753875732, 1.3063054084777832, 1.292797565460205, 1.2594863176345825, 1.2864658832550049]",1.0
40,18,"[0.7060021162033081, 0.6951677799224854, 0.693613588809967, 0.6933885812759399, 0.6933570504188538, 0.6933238506317139, 0.6933045387268066, 0.6931973099708557, 0.6931886076927185, 0.6931872963905334]",0.485
40,20,"[0.7002127766609192, 0.6949790716171265, 0.695052444934845, 0.6974456906318665, 0.6935677528381348, 0.6933895945549011, 0.6932583451271057, 0.6932709813117981, 0.6932513117790222, 0.6931720972061157]",1.0
40,22,"[0.7007315754890442, 0.6938592195510864, 0.6941526532173157, 0.6933668851852417, 0.6932944655418396, 0.6932075619697571, 0.6931636929512024, 0.6931602358818054, 0.6931607127189636, 0.6931591033935547]",0.995
40,24,"[0.8664181232452393, 0.7446582317352295, 0.7346342206001282, 0.7107377648353577, 0.7055478692054749, 0.7008321285247803, 0.694256067276001, 0.6976401209831238, 0.6941821575164795, 0.6933864951133728]",0.465
60,2,"[0.8554192781448364, 0.794281005859375, 0.7849208116531372, 0.7816004157066345, 0.752348780632019, 0.7248852252960205, 0.7085095643997192, 0.7195304036140442, 0.7008534669876099, 0.7102369070053101]",0.935
60,4,"[0.5721665620803833, 0.4894505739212036, 0.3592616319656372, 0.34840402007102966, 0.32890066504478455, 0.32314053177833557, 0.3300027847290039, 0.3206687271595001, 0.3220568895339966, 0.31644952297210693]",0.995
60,6,"[0.7251536846160889, 0.7021248936653137, 0.6960761547088623, 0.6943102478981018, 0.6939236521720886, 0.6937783360481262, 0.6935592293739319, 0.6936646103858948, 0.693320631980896, 0.6933853626251221]",1.0
60,8,"[0.9303543567657471, 0.7113626003265381, 0.69705730676651, 0.6954056620597839, 0.6945554614067078, 0.693803071975708, 0.693566620349884, 0.6934112906455994, 0.6938558220863342, 0.6932756900787354]",1.0
60,10,"[0.36955341696739197, 0.3448105454444885, 0.31718680262565613, 0.31798502802848816, 0.3142356872558594, 0.313926637172699, 0.3143332600593567, 0.3135830760002136, 0.31408607959747314, 0.31439411640167236]",1.0
60,12,"[0.6985938549041748, 0.6953514218330383, 0.6938700079917908, 0.6934274435043335, 0.6933296322822571, 0.6932492256164551, 0.6932111382484436, 0.6931907534599304, 0.6931732296943665, 0.6931604743003845]",0.995
60,14,"[0.7699958086013794, 0.7005947828292847, 0.694254994392395, 0.6938234567642212, 0.6935821175575256, 0.6933086514472961, 0.6932523846626282, 0.6931854486465454, 0.6933059692382812, 0.6931648254394531]",1.0
60,16,"[0.8158119916915894, 0.741441011428833, 0.7176052927970886, 0.7055926322937012, 0.7019278407096863, 0.7222265601158142, 0.7036449313163757, 0.6956380605697632, 0.6957016587257385, 0.6992368102073669]",1.0
60,18,"[0.7227484583854675, 0.6942249536514282, 0.6936699748039246, 0.6934249401092529, 0.6932716965675354, 0.6932679414749146, 0.69327712059021, 0.6932468414306641, 0.6932364702224731, 0.6932664513587952]",0.995
60,20,"[0.700688898563385, 0.6955641508102417, 0.6941350698471069, 0.6935499906539917, 0.6933072209358215, 0.6932331919670105, 0.6931983828544617, 0.6931686401367188, 0.6931687593460083, 0.69316166639328]",0.995
60,22,"[0.705428421497345, 0.6936394572257996, 0.693291425704956, 0.6932418942451477, 0.6931848526000977, 0.6931642889976501, 0.6931560635566711, 0.6931520700454712, 0.6931496262550354, 0.6931489706039429]",1.0
60,24,"[0.32462021708488464, 0.3157317042350769, 0.6925038695335388, 0.6929149627685547, 0.6926488280296326, 0.6924050450325012, 0.313713401556015, 0.3134090006351471, 0.6931045055389404, 0.6930947303771973]",0.465
80,2,"[0.96949702501297, 0.8904516100883484, 0.8077050447463989, 0.810157060623169, 0.7309702038764954, 0.729819118976593, 0.7248364090919495, 0.7173339128494263, 0.7094534039497375, 0.7046376466751099]",0.905
80,4,"[0.7564486265182495, 0.7148637175559998, 0.7006670236587524, 0.6980685591697693, 0.6958759427070618, 0.6961429715156555, 0.6943473815917969, 0.6935763955116272, 0.6935017108917236, 0.6932916641235352]",1.0
80,6,"[0.7579270601272583, 0.7074766159057617, 0.7032456994056702, 0.6955806016921997, 0.6946547627449036, 0.6937980651855469, 0.6939706206321716, 0.6934622526168823, 0.6941450834274292, 0.6933848857879639]",1.0
80,8,"[0.35570210218429565, 0.32677096128463745, 0.31875044107437134, 0.31552451848983765, 0.31390607357025146, 0.3143236041069031, 0.314338743686676, 0.31449055671691895, 0.3137207329273224, 0.3133507966995239]",0.995
80,10,"[0.35817021131515503, 0.31765231490135193, 0.3146156370639801, 0.3143889904022217, 0.3142436146736145, 0.31365495920181274, 0.31352055072784424, 0.31347522139549255, 0.3133755326271057, 0.3133639693260193]",1.0
80,12,"[0.3450804650783539, 0.31804096698760986, 0.31498900055885315, 0.314204603433609, 0.31528598070144653, 0.3139406442642212, 0.31357184052467346, 0.31340491771698, 0.3133850395679474, 0.3136622905731201]",1.0
80,14,"[0.6976692080497742, 0.6946086287498474, 0.6937916874885559, 0.6936323046684265, 0.6932952404022217, 0.6932035088539124, 0.6931739449501038, 0.6931590437889099, 0.6931573748588562, 0.6931585073471069]",0.995
80,16,"[0.3867877721786499, 0.3246266841888428, 0.318576842546463, 0.3296107053756714, 0.32663416862487793, 0.6928243637084961, 0.692609429359436, 0.3148978352546692, 0.31373387575149536, 0.31373170018196106]",1.0
80,18,"[0.6955470442771912, 0.6935985684394836, 0.6933398842811584, 0.6933914422988892, 0.6932805776596069, 0.693213164806366, 0.6931604743003845, 0.6931582093238831, 0.6931533813476562, 0.6931532025337219]",1.0
80,20,"[0.3247022330760956, 0.3142334222793579, 0.3137519955635071, 0.3138258755207062, 0.31343984603881836, 0.3133852183818817, 0.3134894371032715, 0.313687264919281, 0.3134283423423767, 0.31334686279296875]",1.0
80,22,"[0.6966285705566406, 0.6945146322250366, 0.6933816075325012, 0.6932649612426758, 0.6931672692298889, 0.693178653717041, 0.6931678652763367, 0.6931543946266174, 0.6931548118591309, 0.6931563019752502]",0.49
80,24,"[0.31743189692497253, 0.3155823349952698, 0.31391942501068115, 0.31468239426612854, 0.3135058879852295, 0.31373876333236694, 0.3135128617286682, 0.3146134614944458, 0.3136582672595978, 0.3133445978164673]",1.0
200,2,"[0.5541849136352539, 0.5963329076766968, 0.6032472848892212, 0.6049016714096069, 0.6073422431945801, 0.4544830918312073, 0.38283270597457886, 0.37091371417045593, 0.3700043559074402, 0.35585910081863403]",0.9
200,4,"[0.5114816427230835, 0.38241031765937805, 0.36363980174064636, 0.3297645151615143, 0.318556547164917, 0.3219486474990845, 0.31517690420150757, 0.31896406412124634, 0.3147856891155243, 0.3146164119243622]",0.995
200,6,"[0.418594092130661, 0.3361740708351135, 0.3340529203414917, 0.32635751366615295, 0.32711490988731384, 0.31691330671310425, 0.31572839617729187, 0.31425291299819946, 0.3142545819282532, 0.3138415515422821]",0.995
200,8,"[0.34572261571884155, 0.33382150530815125, 0.316635400056839, 0.31470614671707153, 0.31453636288642883, 0.31400302052497864, 0.3146630525588989, 0.3134535253047943, 0.31336551904678345, 0.3133883476257324]",1.0
200,10,"[0.7077817320823669, 0.6950879693031311, 0.6937611103057861, 0.6935474276542664, 0.6933501958847046, 0.6932538747787476, 0.6932741403579712, 0.6931716799736023, 0.6931630373001099, 0.6931596994400024]",1.0
200,12,"[0.3349393904209137, 0.31559833884239197, 0.3148644268512726, 0.3142181634902954, 0.3136924207210541, 0.3135080635547638, 0.31360355019569397, 0.313569575548172, 0.3134394884109497, 0.3133868873119354]",1.0
200,14,"[0.7460628151893616, 0.6951103210449219, 0.6943085193634033, 0.6941631436347961, 0.6935179829597473, 0.6933453679084778, 0.693295955657959, 0.6932508945465088, 0.6932361125946045, 0.693181037902832]",1.0
200,16,"[0.7056368589401245, 0.6947037577629089, 0.6941929459571838, 0.6943397521972656, 0.6936569809913635, 0.6934455633163452, 0.6932916641235352, 0.6932622790336609, 0.693238377571106, 0.6931969523429871]",0.995
200,18,"[0.31791725754737854, 0.31468021869659424, 0.3143789768218994, 0.3134133517742157, 0.3139088749885559, 0.3136608898639679, 0.3136606216430664, 0.3133660554885864, 0.31327977776527405, 0.6931288242340088]",0.555
200,20,"[0.322491317987442, 0.6898682117462158, 0.31545037031173706, 0.3136743903160095, 0.31356027722358704, 0.3136098384857178, 0.3136293590068817, 0.31461068987846375, 0.313872367143631, 0.31356513500213623]",0.99
200,22,"[0.70054692029953, 0.6942250728607178, 0.6938472390174866, 0.6939170360565186, 0.6937062740325928, 0.6939300894737244, 0.693647563457489, 0.6932988166809082, 0.6932156682014465, 0.693160891532898]",0.48
200,24,"[0.6979873776435852, 0.6938607692718506, 0.6941420435905457, 0.6943351626396179, 0.694654107093811, 0.7079695463180542, 0.6941766142845154, 0.6934880018234253, 0.6934633851051331, 0.6933373808860779]",0.44
400,2,"[0.46592622995376587, 0.4896605610847473, 0.45973074436187744, 0.42655280232429504, 0.39908650517463684, 0.4019787609577179, 0.3854973316192627, 0.35420507192611694, 0.3406188189983368, 0.348521888256073]",0.81
400,4,"[0.5792297124862671, 0.5812935829162598, 0.4181261956691742, 0.3387179672718048, 0.32879117131233215, 0.31772053241729736, 0.3193308115005493, 0.3169820010662079, 0.31549713015556335, 0.3144747316837311]",1.0
400,6,"[0.35842207074165344, 0.3532879054546356, 0.3274446427822113, 0.3243546187877655, 0.3142610192298889, 0.3140907883644104, 0.31358665227890015, 0.31468385457992554, 0.3136535584926605, 0.31344255805015564]",1.0
400,8,"[0.3503991663455963, 0.32588842511177063, 0.32554692029953003, 0.32119473814964294, 0.31594598293304443, 0.3152111768722534, 0.3174424171447754, 0.31461137533187866, 0.3135610520839691, 0.31377753615379333]",1.0
400,10,"[0.3684576153755188, 0.31938719749450684, 0.31474363803863525, 0.3141303062438965, 0.31424543261528015, 0.31405988335609436, 0.3137331008911133, 0.3135916292667389, 0.31355249881744385, 0.31355729699134827]",1.0
400,12,"[0.33628904819488525, 0.31512951850891113, 0.31441205739974976, 0.3136384189128876, 0.31375426054000854, 0.3137010335922241, 0.31348735094070435, 0.31333693861961365, 0.31343549489974976, 0.31329989433288574]",1.0
400,14,"[0.37243106961250305, 0.3152078688144684, 0.3140757381916046, 0.31373631954193115, 0.31363892555236816, 0.3133333623409271, 0.3147144019603729, 0.313904345035553, 0.31362012028694153, 0.3134094476699829]",1.0
400,16,"[0.33300498127937317, 0.31588271260261536, 0.3140583038330078, 0.31405892968177795, 0.3138010501861572, 0.31353962421417236, 0.3134336769580841, 0.31333059072494507, 0.31334948539733887, 0.31330904364585876]",1.0
400,18,"[0.3180733025074005, 0.3159889876842499, 0.31381097435951233, 0.6928225159645081, 0.692874550819397, 0.6927716135978699, 0.6928949952125549, 0.6929072737693787, 0.6929260492324829, 0.6928489804267883]",0.45
400,20,"[0.7008180618286133, 0.6941492557525635, 0.6936282515525818, 0.6933561563491821, 0.6932435035705566, 0.7068716883659363, 0.6932019591331482, 0.69317227602005, 0.6931787133216858, 0.6931636929512024]",1.0
400,22,"[0.3181246519088745, 0.31416916847229004, 0.31372353434562683, 0.3133488893508911, 0.31340518593788147, 0.3133758008480072, 0.31335610151290894, 0.3133511543273926, 0.31332510709762573, 0.3133295476436615]",1.0
400,24,"[0.35936084389686584, 0.3172430396080017, 0.3148472011089325, 0.3138664662837982, 0.31374678015708923, 0.3133228123188019, 0.31335577368736267, 0.31407633423805237, 0.31374379992485046, 0.3134753108024597]",1.0
600,2,"[0.5109068155288696, 0.43570196628570557, 0.393295019865036, 0.35141706466674805, 0.33948665857315063, 0.3310941457748413, 0.32672318816185, 0.3226851522922516, 0.31834787130355835, 0.3175199031829834]",0.895
600,4,"[0.8387069702148438, 0.7903202176094055, 0.7421838641166687, 0.7300512194633484, 0.7152569890022278, 0.7135758996009827, 0.7115435004234314, 0.7036826014518738, 0.6967427134513855, 0.6965410113334656]",0.945
600,6,"[0.37309905886650085, 0.33747291564941406, 0.31972476840019226, 0.31760191917419434, 0.3180910050868988, 0.31445321440696716, 0.3139531910419464, 0.31372585892677307, 0.3137441575527191, 0.3137524425983429]",1.0
600,8,"[0.3393297493457794, 0.3284916579723358, 0.34231823682785034, 0.3497442305088043, 0.3379305303096771, 0.33219119906425476, 0.3288213014602661, 0.3230515420436859, 0.3165541887283325, 0.3137025237083435]",1.0
600,10,"[0.3327927887439728, 0.31748154759407043, 0.31450361013412476, 0.3146759569644928, 0.31414148211479187, 0.3136792778968811, 0.31345850229263306, 0.31343957781791687, 0.31343916058540344, 0.3134585916996002]",1.0
600,12,"[0.33004555106163025, 0.3176535367965698, 0.315015971660614, 0.31487366557121277, 0.315096378326416, 0.3144054412841797, 0.31356924772262573, 0.31345778703689575, 0.3134042024612427, 0.3134446442127228]",1.0
600,14,"[0.7110158205032349, 0.6951021552085876, 0.6939848065376282, 0.6936365365982056, 0.693366527557373, 0.6932749152183533, 0.6932162642478943, 0.6931986808776855, 0.6931846141815186, 0.6931653618812561]",1.0
600,16,"[0.7096431255340576, 0.6965315341949463, 0.6975377202033997, 0.6943694353103638, 0.6937476992607117, 0.6936096549034119, 0.6936538219451904, 0.693293035030365, 0.6932883262634277, 0.6932177543640137]",1.0
600,18,"[0.3291347622871399, 0.3157004117965698, 0.31468716263771057, 0.3149428069591522, 0.6926071047782898, 0.6929478645324707, 0.6927374601364136, 0.6926428079605103, 0.3136086165904999, 0.31354597210884094]",0.995
600,20,"[0.3697914779186249, 0.3159467577934265, 0.3146112859249115, 0.3140437602996826, 0.31363195180892944, 0.31370505690574646, 0.3142535984516144, 0.3135260343551636, 0.31705379486083984, 0.31380096077919006]",1.0
600,22,"[0.3239280581474304, 0.3149859607219696, 0.31356313824653625, 0.313747376203537, 0.692933976650238, 0.6928669810295105, 0.6929072141647339, 0.6929088830947876, 0.6926860809326172, 0.3137311041355133]",1.0
600,24,"[0.3456128239631653, 0.5292845368385315, 0.428907185792923, 0.34746289253234863, 0.32993730902671814, 0.31752797961235046, 0.31442198157310486, 0.31368571519851685, 0.31352663040161133, 0.3134544789791107]",1.0
800,2,"[0.5567979216575623, 0.48161011934280396, 0.42493900656700134, 0.3953365087509155, 0.3447408676147461, 0.36028459668159485, 0.3317936658859253, 0.3307338356971741, 0.32905474305152893, 0.3247703015804291]",0.955
800,4,"[0.399947851896286, 0.3445267677307129, 0.33209678530693054, 0.3267643451690674, 0.32867661118507385, 0.3267115652561188, 0.3156193792819977, 0.3152211010456085, 0.3155499994754791, 0.3149688243865967]",1.0
800,6,"[0.764974057674408, 0.7114601731300354, 0.698794960975647, 0.6975416541099548, 0.6940731406211853, 0.6945236921310425, 0.6937285661697388, 0.693596601486206, 0.6934590935707092, 0.6933456063270569]",1.0
800,8,"[0.9374389052391052, 0.7044425010681152, 0.6976242661476135, 0.6950126886367798, 0.6944588422775269, 0.6936458349227905, 0.6936558485031128, 0.6935263872146606, 0.6933683156967163, 0.6933346390724182]",1.0
