Sequence Length,Hidden Size,Loss Vector,Accuracy
2,2,"[1.080681562423706, 0.9953104853630066, 0.9205513000488281, 0.8626943826675415, 0.8186565041542053, 0.7864476442337036, 0.763016402721405, 0.7458963990211487, 0.733247697353363, 0.7238125205039978]",0.685
2,6,"[1.0685138702392578, 1.239489197731018, 1.2826299667358398, 1.303878664970398, 1.3096702098846436, 1.311583399772644, 1.3123873472213745, 1.3127752542495728, 1.3129792213439941, 1.3130924701690674]",0.855
2,10,"[0.36095279455184937, 0.3443847596645355, 0.33188262581825256, 0.32242974638938904, 0.31815847754478455, 0.3160455822944641, 0.31491202116012573, 0.3142687678337097, 0.3138890862464905, 0.31365862488746643]",0.84
2,14,"[0.3593035042285919, 0.34273287653923035, 0.3364761471748352, 0.32348304986953735, 0.3183647692203522, 0.3160545229911804, 0.3148799240589142, 0.3142347037792206, 0.3138616681098938, 0.31363824009895325]",0.85
2,18,"[0.38061609864234924, 0.34125205874443054, 0.3346954584121704, 0.31689098477363586, 0.3144388496875763, 0.3138105273246765, 0.3135591447353363, 0.3134358525276184, 0.3133683204650879, 0.31332874298095703]",0.86
3,2,"[0.8791593909263611, 0.842011570930481, 0.8123833537101746, 0.7915407419204712, 0.777094304561615, 0.7668399810791016, 0.7596825361251831, 0.7558494806289673, 0.757218062877655, 0.7485267519950867]",0.48
3,6,"[0.8846264481544495, 0.7630584239959717, 0.7165877223014832, 0.7028061151504517, 0.698361337184906, 0.6962223649024963, 0.6950495839118958, 0.6943598389625549, 0.6939355731010437, 0.6936666369438171]",0.89
3,10,"[0.47914791107177734, 0.3887879550457001, 0.34285447001457214, 0.32680201530456543, 0.32068508863449097, 0.31777438521385193, 0.31586018204689026, 0.3145238161087036, 0.31409549713134766, 0.31384432315826416]",0.86
3,14,"[0.3404965400695801, 0.3198678195476532, 0.3162938356399536, 0.3149296045303345, 0.3142555058002472, 0.3138800263404846, 0.3136565387248993, 0.3135181963443756, 0.3134302794933319, 0.3133734464645386]",0.845
3,18,"[0.3367125689983368, 0.31903401017189026, 0.31577959656715393, 0.31457334756851196, 0.31397008895874023, 0.31367942690849304, 0.3135250508785248, 0.31343069672584534, 0.31337058544158936, 0.31333109736442566]",0.815
4,2,"[0.5810217261314392, 0.6032847166061401, 0.6171501874923706, 0.6251340508460999, 0.6251590847969055, 0.5775808095932007, 0.5166304111480713, 0.48556995391845703, 0.47010862827301025, 0.4453824758529663]",0.805
4,6,"[0.9553141593933105, 0.797972559928894, 0.7358535528182983, 0.7152236700057983, 0.7065949440002441, 0.717771589756012, 0.7081835865974426, 0.7023599147796631, 0.6996841430664062, 0.6979833245277405]",0.84
4,10,"[0.40210843086242676, 0.34142330288887024, 0.3240320384502411, 0.3184558153152466, 0.31610509753227234, 0.3149296045303345, 0.3142813742160797, 0.31390243768692017, 0.3136722147464752, 0.3135286271572113]",0.855
4,14,"[0.7558816075325012, 0.7086576819419861, 0.6994756460189819, 0.6963574290275574, 0.694961428642273, 0.694237232208252, 0.6938269734382629, 0.6935814023017883, 0.6934289932250977, 0.6933321952819824]",0.85
4,18,"[0.3390241265296936, 0.31596067547798157, 0.3141399025917053, 0.31368911266326904, 0.3135055601596832, 0.3134106695652008, 0.31335610151290894, 0.31332290172576904, 0.31330201029777527, 0.3132883906364441]",0.875
5,2,"[0.8103262186050415, 0.7890670895576477, 0.775734543800354, 0.7647291421890259, 0.7545053958892822, 0.74541836977005, 0.7377811074256897, 0.731442928314209, 0.7260303497314453, 0.7212611436843872]",0.6
5,6,"[0.46409106254577637, 0.3742557466030121, 0.3396494686603546, 0.33417463302612305, 0.32735374569892883, 0.31841322779655457, 0.3168565332889557, 0.3163418769836426, 0.3164688050746918, 0.3175044655799866]",0.925
5,10,"[0.43282872438430786, 0.3481583893299103, 0.3277053236961365, 0.32075920701026917, 0.3178819715976715, 0.31564849615097046, 0.6869702935218811, 0.31426745653152466, 0.31453800201416016, 0.3139912486076355]",0.89
5,14,"[0.35672110319137573, 0.3242856562137604, 0.31658852100372314, 0.3143622577190399, 0.313730388879776, 0.31350022554397583, 0.31339672207832336, 0.31334251165390015, 0.3133115768432617, 0.3132931888103485]",0.87
5,18,"[0.799540102481842, 0.7195950150489807, 0.704377293586731, 0.6989499926567078, 0.6965924501419067, 0.6953288316726685, 0.6944762468338013, 0.6945711374282837, 0.6931623220443726, 0.6931605339050293]",0.46
6,2,"[0.8384705781936646, 0.8092485666275024, 0.7899662852287292, 0.7781442403793335, 0.7710340619087219, 0.7670427560806274, 0.7651914954185486, 0.7643252611160278, 0.7616182565689087, 0.7516278624534607]",0.52
6,6,"[0.5759710073471069, 0.3510730564594269, 0.3394710123538971, 0.3358437120914459, 0.33508673310279846, 0.3319605588912964, 0.32611653208732605, 0.32234469056129456, 0.31911832094192505, 0.3169002830982208]",0.885
6,10,"[0.862143874168396, 0.7390201091766357, 0.707048773765564, 0.698797881603241, 0.6958925724029541, 0.6949268579483032, 0.6944635510444641, 0.6938359141349792, 0.6935381293296814, 0.6933791637420654]",0.79
6,14,"[0.7715522050857544, 0.7206077575683594, 0.705489456653595, 0.6996055245399475, 0.6968199610710144, 0.6953417658805847, 0.6945005655288696, 0.6939992308616638, 0.6936912536621094, 0.6934979557991028]",0.91
6,18,"[0.6794484257698059, 0.3294406831264496, 0.3203969895839691, 0.31603342294692993, 0.31455132365226746, 0.31393465399742126, 0.3136492073535919, 0.3134985864162445, 0.31341084837913513, 0.3133571445941925]",0.825
