Sequence Length,Hidden Size,Loss Vector,Accuracy
2,2,"[0.8559960722923279, 0.8052379488945007, 0.7582455277442932, 0.7354519367218018, 0.7235313653945923, 0.7162899374961853, 0.7114129066467285, 0.7078990340232849, 0.7052467465400696, 0.7031700015068054]",0.79
2,3,"[0.8716902732849121, 0.824637770652771, 0.8034770488739014, 0.7773492932319641, 0.7524418830871582, 0.734100878238678, 0.7214126586914062, 0.7127478122711182, 0.7068117260932922, 0.7027163505554199]",0.645
2,4,"[0.4932901859283447, 0.4505235552787781, 0.3893541991710663, 0.3639680743217468, 0.35412684082984924, 0.3468092381954193, 0.32845339179039, 0.3212420344352722, 0.3180449604988098, 0.31631824374198914]",0.83
2,5,"[0.8202002644538879, 0.7378787398338318, 0.715083658695221, 0.7063462734222412, 0.7026253342628479, 0.7026697397232056, 0.7019495964050293, 0.7001935243606567, 0.6983756422996521, 0.6968830227851868]",0.86
2,6,"[0.8434231281280518, 0.74149489402771, 0.7131730318069458, 0.7039303779602051, 0.6997242569923401, 0.6974163055419922, 0.6960161328315735, 0.6951180696487427, 0.6945203542709351, 0.6941127777099609]",0.825
2,7,"[1.0969288349151611, 1.2420880794525146, 1.2703194618225098, 1.270530104637146, 1.2986781597137451, 1.3067083358764648, 1.3097156286239624, 1.3111621141433716, 1.3119601011276245, 1.3124339580535889]",0.86
2,8,"[0.4650494158267975, 0.3907633423805237, 0.3652213215827942, 0.35629987716674805, 0.35510870814323425, 0.36326152086257935, 0.34592464566230774, 0.3301903009414673, 0.3225615918636322, 0.31860119104385376]",0.845
2,9,"[0.41314125061035156, 0.34925034642219543, 0.3362671434879303, 0.34249430894851685, 0.3346528708934784, 0.32568272948265076, 0.3204851448535919, 0.3175862729549408, 0.31591641902923584, 0.3149224519729614]",0.845
2,10,"[1.195185899734497, 1.2734076976776123, 1.2916616201400757, 1.292273998260498, 1.2954576015472412, 1.3076850175857544, 1.310636281967163, 1.311802864074707, 1.3123821020126343, 1.3127082586288452]",0.845
2,11,"[0.36184120178222656, 0.3759351670742035, 0.3395889401435852, 0.3245750665664673, 0.3188988268375397, 0.3163471817970276, 0.3150539994239807, 0.31434398889541626, 0.3139326572418213, 0.31368526816368103]",0.855
