Sequence Length,Hidden Size,Loss Vector,Accuracy
2,2,"[0.5247157216072083, 0.5046077966690063, 0.44943711161613464, 0.40225768089294434, 0.3727796971797943, 0.35516369342803955, 0.3441401720046997, 0.33676865696907043, 0.33156418800354004, 0.3277412950992584]",0.835
2,5,"[0.4964638352394104, 0.4004950225353241, 0.35257217288017273, 0.3354494869709015, 0.32723671197891235, 0.3226076066493988, 0.3197232186794281, 0.31781265139579773, 0.31650155782699585, 0.31558337807655334]",0.805
2,8,"[0.745794415473938, 0.7071571946144104, 0.6994569897651672, 0.6966018080711365, 0.6952266693115234, 0.6944679617881775, 0.6940147876739502, 0.6937300562858582, 0.6935451626777649, 0.6934221982955933]",0.805
2,11,"[0.3415289521217346, 0.32021820545196533, 0.3163950443267822, 0.315003365278244, 0.31433284282684326, 0.3139587640762329, 0.31373119354248047, 0.313585102558136, 0.31348785758018494, 0.31342172622680664]",0.85
2,14,"[0.348275363445282, 0.32340800762176514, 0.3184429705142975, 0.3163772523403168, 0.3152785003185272, 0.3146190345287323, 0.314195454120636, 0.31391245126724243, 0.3137190639972687, 0.3135850131511688]",0.825
2,17,"[0.7067665457725525, 0.6959820985794067, 0.6942929625511169, 0.6937263011932373, 0.6934730410575867, 0.6933417916297913, 0.6932677030563354, 0.6932235956192017, 0.6931964159011841, 0.693179190158844]",0.84
2,20,"[1.299079418182373, 1.3100298643112183, 1.3118658065795898, 1.3125146627426147, 1.3128175735473633, 1.3129807710647583, 1.3130766153335571, 1.3131358623504639, 1.3131738901138306, 1.3131988048553467]",0.835
2,23,"[0.3193318545818329, 0.314633309841156, 0.3138245642185211, 0.31354624032974243, 0.3134212791919708, 0.3133566379547119, 0.31332021951675415, 0.3132985234260559, 0.31328508257865906, 0.3132765591144562]",0.825
2,26,"[0.31676238775253296, 0.3140440285205841, 0.3135899603366852, 0.31343191862106323, 0.31335940957069397, 0.3133210837841034, 0.31329911947250366, 0.3132857084274292, 0.3132774233818054, 0.313272088766098]",0.795
5,2,"[0.9697346687316895, 0.8738369941711426, 0.822905421257019, 0.7958776354789734, 0.7789102792739868, 0.7668654918670654, 0.7575692534446716, 0.750114381313324, 0.7440889477729797, 0.7392155528068542]",0.52
5,5,"[0.8470270037651062, 0.8293310403823853, 0.7813624143600464, 0.7487797737121582, 0.7290177345275879, 0.7169683575630188, 0.7093895077705383, 0.704457700252533, 0.7011483907699585, 0.6988694667816162]",0.94
5,8,"[0.47290360927581787, 0.34375056624412537, 0.32460159063339233, 0.3184159994125366, 0.31597352027893066, 0.3148321509361267, 0.3142271339893341, 0.31387752294540405, 0.31366366147994995, 0.3135279417037964]",0.9
5,11,"[0.7921434044837952, 0.7249089479446411, 0.7076613903045654, 0.7008416056632996, 0.6975551247596741, 0.6957923173904419, 0.6947821974754333, 0.6941777467727661, 0.6938053369522095, 0.6935713887214661]",0.905
5,14,"[0.828203558921814, 0.7255210876464844, 0.706426739692688, 0.6997889876365662, 0.696787416934967, 0.6952643394470215, 0.6944290995597839, 0.6939443945884705, 0.6936521530151367, 0.6934713125228882]",0.895
5,17,"[0.32493242621421814, 0.31644466519355774, 0.31462737917900085, 0.31395649909973145, 0.3136526942253113, 0.3134955167770386, 0.3134070932865143, 0.3133544623851776, 0.3133218586444855, 0.3133012056350708]",0.915
5,20,"[0.7343785762786865, 0.7032497525215149, 0.6971821188926697, 0.6951419711112976, 0.6942462921142578, 0.6937913298606873, 0.6935391426086426, 0.6933914422988892, 0.6933016180992126, 0.6932457685470581]",0.89
5,23,"[0.3327390253543854, 0.31552737951278687, 0.31414660811424255, 0.31369641423225403, 0.3135024905204773, 0.31340405344963074, 0.3133491277694702, 0.31331682205200195, 0.3132970333099365, 0.31328466534614563]",0.93
5,26,"[0.7208460569381714, 0.7003360390663147, 0.69584721326828, 0.6946122646331787, 0.694007933139801, 0.6936753988265991, 0.6934795379638672, 0.6933596730232239, 0.6932843923568726, 0.6932363510131836]",0.915
8,2,"[0.5956023931503296, 0.6079748868942261, 0.615101158618927, 0.6172318458557129, 0.6113827228546143, 0.5502223968505859, 0.4676644802093506, 0.43419694900512695, 0.413729190826416, 0.39946234226226807]",0.94
8,5,"[0.5195581912994385, 0.3925408720970154, 0.34798818826675415, 0.3338066339492798, 0.32598334550857544, 0.3211723268032074, 0.3183174431324005, 0.31656330823898315, 0.31544938683509827, 0.3147255480289459]",0.945
8,8,"[0.811582088470459, 0.7888635396957397, 1.1723954677581787, 1.2761746644973755, 1.291908621788025, 1.299607753753662, 1.304153323173523, 1.307088851928711, 1.3090720176696777, 1.310623049736023]",0.95
8,11,"[0.8379237651824951, 0.7962979674339294, 0.726043701171875, 0.7006775736808777, 0.695177435874939, 0.6941006779670715, 0.6936458945274353, 0.6934284567832947, 0.693313717842102, 0.6932490468025208]",0.92
8,14,"[0.3495942950248718, 0.3331907093524933, 0.3225991427898407, 0.3172358274459839, 0.3152865171432495, 0.6930474042892456, 0.6930598020553589, 0.6930674314498901, 0.6930672526359558, 0.6930323839187622]",0.52
8,17,"[0.3284590542316437, 0.3158305585384369, 0.31442511081695557, 0.3138733208179474, 0.3137560188770294, 0.3135673999786377, 0.3134550154209137, 0.31338590383529663, 0.313342422246933, 0.3133145570755005]",0.925
8,20,"[1.2602598667144775, 1.3048646450042725, 1.3089784383773804, 1.3109813928604126, 1.3115534782409668, 1.3122806549072266, 1.3126413822174072, 1.3128626346588135, 1.3130016326904297, 1.3130905628204346]",0.95
8,23,"[0.6807667016983032, 0.6913726329803467, 0.6914565563201904, 0.689529299736023, 0.31340333819389343, 0.6930572986602783, 0.6930668950080872, 0.6930685043334961, 0.6930445432662964, 0.6931030750274658]",0.555
8,26,"[0.32763633131980896, 0.3162354528903961, 0.31347721815109253, 0.31333136558532715, 0.31392455101013184, 0.3134881258010864, 0.3134159743785858, 0.31336483359336853, 0.31333082914352417, 0.313308447599411]",0.93
