Sequence Length,Hidden Size,Loss Vector,Accuracy
2,2,"[0.4813910722732544, 0.4760671854019165, 0.4402886927127838, 0.4282071590423584, 0.37677448987960815, 0.3620348572731018, 0.3572906255722046, 0.3486471474170685, 0.3405703902244568, 0.32871636748313904]",0.72
2,3,"[0.8375619649887085, 0.7667826414108276, 0.7416525483131409, 0.7125174403190613, 0.7146375775337219, 0.6999949812889099, 0.6964548230171204, 0.6958186626434326, 0.6950532793998718, 0.6960047483444214]",0.835
2,4,"[0.4647674560546875, 0.4262676537036896, 0.39059072732925415, 0.37723836302757263, 0.36887168884277344, 0.3418278992176056, 0.3313179612159729, 0.32856643199920654, 0.32253050804138184, 0.31669577956199646]",0.88
2,5,"[0.9670286178588867, 1.0303488969802856, 1.201920747756958, 1.2234617471694946, 1.2650442123413086, 1.2941770553588867, 1.3035334348678589, 1.310448408126831, 1.3117334842681885, 1.312680959701538]",0.85
2,6,"[0.5371314287185669, 0.6281760931015015, 0.6650845408439636, 0.6855373978614807, 0.6772300004959106, 0.6919518113136292, 0.6913973093032837, 0.6917451620101929, 0.6928682923316956, 0.6927978992462158]",0.875
2,7,"[0.9193333387374878, 1.0356829166412354, 1.0571415424346924, 0.8812448978424072, 0.7639423608779907, 0.7188888192176819, 0.7030186057090759, 0.694817066192627, 0.6971181631088257, 0.6966232657432556]",0.88
2,8,"[1.0020055770874023, 1.172710657119751, 1.2289721965789795, 1.2222611904144287, 1.2825454473495483, 1.2995519638061523, 1.3017252683639526, 1.3110592365264893, 1.3105900287628174, 1.3112001419067383]",0.885
2,9,"[0.41114935278892517, 0.3531215190887451, 0.3304707109928131, 0.31773674488067627, 0.3170066475868225, 0.3160865008831024, 0.3146305978298187, 0.31422993540763855, 0.3137851059436798, 0.3134949207305908]",0.815
2,10,"[1.233343482017517, 1.2946465015411377, 1.3082513809204102, 1.312445878982544, 1.3129826784133911, 1.313153624534607, 1.3132002353668213, 1.3132473230361938, 1.313246488571167, 1.3132593631744385]",0.835
2,11,"[0.3863004744052887, 0.3384084403514862, 0.3481594920158386, 0.3195669949054718, 0.32445570826530457, 0.3158557713031769, 0.3142053782939911, 0.3137170672416687, 0.31457245349884033, 0.3139749765396118]",0.84
2,12,"[0.7422099113464355, 0.7048349380493164, 0.6999446153640747, 0.6948235630989075, 0.6938046216964722, 0.6934909820556641, 0.6933804750442505, 0.693236231803894, 0.6931895613670349, 0.6931842565536499]",0.845
2,13,"[0.3531150817871094, 0.32057079672813416, 0.32109883427619934, 0.31750956177711487, 0.3185099959373474, 0.3156275451183319, 0.3138554096221924, 0.31372925639152527, 0.31378796696662903, 0.313455194234848]",0.83
2,14,"[0.3789564371109009, 0.3333580493927002, 0.32930442690849304, 0.3190951645374298, 0.325670450925827, 0.3211265206336975, 0.3162320554256439, 0.31608736515045166, 0.3145717680454254, 0.3140617907047272]",0.835
