Sequence Length,Hidden Size,Loss Vector,Accuracy
2,2,"[0.8212420344352722, 0.8091758489608765, 0.7739253044128418, 0.7476369738578796, 0.7313952445983887, 0.7271163463592529, 0.7277674674987793, 0.7297783493995667, 0.7146409749984741, 0.7098509073257446]",0.795
2,5,"[1.099191427230835, 1.2402887344360352, 1.2684152126312256, 1.2793335914611816, 1.293553113937378, 1.3012337684631348, 1.300351858139038, 1.3097007274627686, 1.3074934482574463, 1.31009042263031]",0.83
2,8,"[0.4092943072319031, 0.3625069558620453, 0.32929909229278564, 0.3208167254924774, 0.31933003664016724, 0.3164953887462616, 0.31524544954299927, 0.31452521681785583, 0.3144988417625427, 0.31398123502731323]",0.815
2,11,"[0.38034600019454956, 0.3362716734409332, 0.32413801550865173, 0.32117655873298645, 0.3218630254268646, 0.31702670454978943, 0.3182016611099243, 0.317267507314682, 0.3160831928253174, 0.3158937394618988]",0.785
2,14,"[0.36773574352264404, 0.3205772042274475, 0.31610754132270813, 0.31474217772483826, 0.3137951195240021, 0.31385329365730286, 0.3135172128677368, 0.31346574425697327, 0.31344839930534363, 0.3133353590965271]",0.865
2,17,"[0.7299047708511353, 0.7084367871284485, 0.696922779083252, 0.6963910460472107, 0.6945356130599976, 0.6937683820724487, 0.6933616399765015, 0.6934117078781128, 0.6933612823486328, 0.6933212876319885]",0.865
2,20,"[1.2634692192077637, 1.2897794246673584, 1.3028610944747925, 1.3087692260742188, 1.311651349067688, 1.3110066652297974, 1.3124659061431885, 1.3123955726623535, 1.3127691745758057, 1.3129817247390747]",0.845
2,23,"[0.33650413155555725, 0.32220882177352905, 0.3165905177593231, 0.31549540162086487, 0.31494733691215515, 0.3145070970058441, 0.31384947896003723, 0.3140636086463928, 0.3145153820514679, 0.31358569860458374]",0.835
2,26,"[1.2967100143432617, 1.3086843490600586, 1.312361478805542, 1.3127381801605225, 1.31292724609375, 1.3130921125411987, 1.3131312131881714, 1.31319260597229, 1.313209056854248, 1.3132368326187134]",0.755
5,2,"[0.9346579313278198, 0.8720823526382446, 0.828088641166687, 0.8056780099868774, 0.7819326519966125, 0.7873995304107666, 0.7692704200744629, 0.7593709230422974, 0.7629833221435547, 0.774535596370697]",0.545
5,5,"[0.8924784660339355, 0.9940105676651001, 1.0971499681472778, 1.2416132688522339, 1.29292631149292, 1.2880313396453857, 1.2947882413864136, 1.3067759275436401, 1.3072534799575806, 1.3101826906204224]",0.91
5,8,"[0.5393717288970947, 0.3773670196533203, 0.31824129819869995, 0.3177330195903778, 0.3839859962463379, 0.3166366219520569, 0.3141017556190491, 0.3136955499649048, 0.3140803277492523, 0.31381699442863464]",0.91
5,11,"[0.4419785141944885, 0.34727591276168823, 0.33121106028556824, 0.32082676887512207, 0.31508904695510864, 0.3151658773422241, 0.31522050499916077, 0.31464460492134094, 0.3136838674545288, 0.31368720531463623]",0.9
5,14,"[0.32619646191596985, 0.31601473689079285, 0.31458109617233276, 0.314262330532074, 0.3137875497341156, 0.3135174810886383, 0.31357115507125854, 0.3133656978607178, 0.3133123815059662, 0.31330111622810364]",0.925
5,17,"[0.38902559876441956, 0.319965124130249, 0.3167246878147125, 0.32171931862831116, 0.3137132525444031, 0.31386297941207886, 0.3136403262615204, 0.3135705292224884, 0.3134976327419281, 0.31333041191101074]",0.91
